condition,substrate,Group,treatment method ,treatment,treat No.,Cultivar,samples,fresh weight (A),dry weight(B),A-B,Vase_life,petals,petal size,L,a,b
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_KP,4,CP,2,2.09,0.79,1.3,5,13,44.99,74.41,14.21,1.74
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_KP,4,CP,3,3.24,0.61,2.63,10,14,53.11,78.32,9.28,3.02
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_KP,4,CP,4,2.74,1.05,1.69,5,12,54.09,74.14,13.31,2.11
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_KP,4,CP,5,3.09,0.83,2.26,3,10,54.77,75.13,16.84,1.77
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_KP,4,CP,6,3.84,0.72,3.12,7,13,55.21,77.88,13.22,3.66
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_BP,1,BP,1,2.26,0.52,1.74,8,11,43.21,88.35,1.91,1.74
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_BP,1,BP,2,2.87,0.47,2.4,9,12,40.69,31.41,37.29,-31.48
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_BP,1,BP,3,2.01,0.56,1.45,9,15,42.77,33.24,30.65,-25.69
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_BP,1,BP,4,2.51,0.61,1.9,9,14,45.89,67.86,13.02,-11.9
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_BP,1,BP,5,2.23,0.47,1.76,7,12,42.89,60.04,12.93,-12.03
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_BP,1,BP,6,2.52,0.78,1.74,7,10,40.97,72.86,10.05,-8.32
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_BP,2,BP,1,1.61,0.37,1.24,3,11,40.66,31.45,23.35,-19.22
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_BP,2,BP,2,3.18,0.51,2.67,12,16,40.98,65.33,10.24,-8.3
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_BP,2,BP,3,1.98,0.57,1.41,8,10,42.02,56.78,19.1,-16.26
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_BP,2,BP,4,1.86,0.83,1.03,8,13,43.06,53,13.21,-11.54
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_BP,2,BP,5,2.68,0.66,2.02,8,15,41.91,48.39,12.69,-10.82
Flower,soil,SSV,PSA1_0.1,PSA1_0.1_BP,2,BP,6,3,0.61,2.39,10,14,42.01,51.16,21.7,-18.2
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_BP,3,BP,1,2.13,0.58,1.55,10,15,44.68,65.96,8.58,-7.96
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_BP,3,BP,2,2.38,0.44,1.94,7,12,46.59,67.69,13.73,-12.21
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_BP,3,BP,4,2.48,0.62,1.86,8,10,46.55,75.84,4.65,-4.59
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_BP,3,BP,5,2.81,0.41,2.4,7,13,48.44,66.32,7.56,-5.32
Flower,soil,SSV,PSA1_0.3,PSA1_0.3_BP,3,BP,6,2.73,0.52,2.21,8,10,42.46,66.32,7.56,-5.32
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_BP,4,BP,1,3.08,0.84,2.24,12,14,40.12,35.29,21.44,-18.68
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_BP,4,BP,2,1.9,0.78,1.12,10,13,44.32,46.99,28.54,-25.89
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_BP,4,BP,3,2.68,0.43,2.25,7,12,50.01,29.75,33.93,-27.84
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_BP,4,BP,4,2.35,0.74,1.61,10,12,46.34,68.3,11.07,-9.41
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_BP,4,BP,5,1.56,0.85,0.71,7,10,41.61,51.18,17.84,-15.72
Flower,soil,SSV,PSA1_0.5,PSA1_0.5_BP,4,BP,6,1.39,0.74,0.65,7,11,42.69,49.45,20.9,-18.32
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_KW,1,KW,1,3.71,0.61,3.1,7,11,42.98,86.24,-2.15,6.58
Flower,soil,SSV,PSA1_0.0,PSA1_0.0_KW,1,KW,2,3.9,0.68,3.22,7,13,44.62,93.37,-0.78,3.74
