condition,substrate,Group,treatment method ,treatment,treat No.,Cultivar,samples,fresh weight (A),dry weight(B),A-B,Vase_life,petals,petal size,L,a,b
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_KW,4,KW,4,3.67,0.43,3.24,10,10,48.77,88.44,-0.46,3.56
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_KW,4,KW,5,4.43,0.9,3.53,10,10,42.65,91.66,-2.24,7.56
Flower,soil,SSR,PSA2_0.5,PSA2_0.5_KW,4,KW,6,3.11,0.42,2.69,8,10,45.19,88.33,-1.53,6.29
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_AG,1,AG,1,1.97,0.35,1.62,3,9,47.12,77.71,-8.35,17.8
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_AG,1,AG,2,2.58,0.51,2.07,7,10,40.62,81.02,-8.86,17.21
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_AG,1,AG,3,2.21,0.37,1.84,10,13,50.35,83.47,-10.28,19.79
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_AG,1,AG,4,2.34,0.66,1.68,8,12,43.01,84.94,-12.09,24.94
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_AG,1,AG,5,2.63,0.23,2.4,9,11,42.23,83.54,-12.54,28.63
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_AG,1,AG,6,2.54,0.59,1.95,11,14,49.95,63.96,12.37,24.81
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_AG,2,AG,1,2.41,0.61,1.8,8,10,45.33,83.67,-9.28,23.6
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_AG,2,AG,2,1.76,0.72,1.04,7,10,43.65,85.16,-7.32,18.5
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_AG,2,AG,3,2.05,0.8,1.25,5,10,48.88,81.93,-6.98,15.59
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_AG,2,AG,4,3.03,0.75,2.28,10,11,47.95,82.2,-10.05,22.98
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_AG,2,AG,5,1.93,0.67,1.26,7,10,50.25,85.32,-9.89,23.8
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_AG,2,AG,6,2.74,0.6,2.14,10,12,46.65,85.16,-7.32,18.5
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_AG,3,AG,1,2.56,0.66,1.9,12,11,47.11,89.13,-8.7,18.87
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_AG,3,AG,2,2.14,0.53,1.61,12,12,43.32,86.03,-7.93,17.6
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_AG,3,AG,3,2.32,0.79,1.53,8,11,46.55,83.58,-9.77,19.74
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_AG,3,AG,4,1.82,0.85,0.97,7,9,47.17,85.73,-7.36,16.95
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_AG,3,AG,5,2.23,0.55,1.68,12,11,45.65,76.6,-7,14.39
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_AG,3,AG,6,2.43,0.71,1.72,11,10,46.46,67.81,-8.92,17.58
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_AG,4,AG,1,2.88,0.56,2.32,12,12,48.12,82.92,-12.64,26
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_AG,4,AG,2,2.77,0.64,2.13,11,10,43.32,76.81,-6.74,14.12
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_AG,4,AG,3,3.18,0.82,2.36,11,11,50.45,85.91,-10.6,19.09
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_AG,4,AG,4,2.68,0.75,1.93,8,10,45.78,84.23,-10.84,22.04
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_AG,4,AG,5,2.55,0.54,2.01,12,12,51,85.3,-8.16,16.51
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_AG,4,AG,6,2.05,0.64,1.41,5,10,43.33,77.13,-10.09,21.76
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_KP,1,CP,1,3.16,0.54,2.62,5,10,50.01,77.88,13.1,1.43
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_KP,1,CP,2,3.09,0.84,2.25,3,9,52.66,72.88,20.03,1.96
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_KP,1,CP,3,3.01,0.61,2.4,7,11,53.09,68.62,15.5,2.08
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_KP,1,CP,4,3.39,0.43,2.96,7,11,54.12,82.93,10.97,3.08
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_KP,1,CP,5,4.41,0.5,3.91,9,12,45.99,76.75,9.94,1.57
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_KP,1,CP,6,2.44,0.72,1.72,7,12,50.36,78.04,10.28,1.63
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_KP,2,CP,1,3.13,0.44,2.69,8,10,47.77,85.45,8.02,6.26
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_KP,2,CP,2,2.21,0.78,1.43,4,9,46.01,71.71,13.48,1.01
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_KP,2,CP,3,1.21,0.51,0.7,4,7,55.02,85.69,6.93,4.05
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_KP,2,CP,4,3.16,0.58,2.58,8,11,49.35,77.06,19.16,2.18
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_KP,2,CP,5,2.25,0.5,1.75,3,10,50.74,77.56,12.83,3.06
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_KP,2,CP,6,2.53,0.48,2.05,7,10,45.66,79.04,9.73,1.49
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_KP,3,CP,1,3.71,0.56,3.15,7,11,54.47,81.6,10.43,4.45
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_KP,3,CP,2,1.84,0.48,1.36,3,10,55.08,48.63,5.41,7.69
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_KP,3,CP,3,2.92,0.85,2.07,5,10,54.33,82.28,9.75,3.93
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_KP,3,CP,4,2.51,0.73,1.78,8,12,50.12,84.74,8.15,3.26
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_KP,3,CP,5,2.69,0.52,2.17,8,11,52.39,81.04,11.88,3.37
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_KP,3,CP,6,3.1,1,2.1,7,13,50.62,82.18,9.52,4.22
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_KP,4,CP,1,2.79,0.7,2.09,4,10,52.35,78.98,12.38,2.49
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_KP,4,CP,2,2.52,0.49,2.03,8,10,45.62,74.68,11.3,2.97
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_KP,4,CP,3,3.45,0.39,3.06,12,13,54.03,80.61,15.65,2.3
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_KP,4,CP,4,3.02,0.61,2.41,7,10,50.01,68.94,17.88,2.22
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_KP,4,CP,5,3.25,0.55,2.7,8,11,51.77,78.86,8.32,2.46
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_KP,4,CP,6,3.3,1,2.3,7,10,52.22,69.12,21.12,3.48
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_BP,1,BP,1,2.26,0.52,1.74,7,11,43.21,88.35,1.91,1.74
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_BP,1,BP,2,2.87,0.47,2.4,9,12,40.69,31.41,37.29,-31.48
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_BP,1,BP,3,2.01,0.56,1.45,9,15,42.77,33.24,30.65,-25.69
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_BP,1,BP,4,2.51,0.61,1.9,9,14,45.89,67.86,13.02,-11.9
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_BP,1,BP,5,2.23,0.47,1.76,7,12,42.89,60.04,12.93,-12.03
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_BP,1,BP,6,2.52,0.78,1.74,7,10,40.97,71.49,9.93,-8.29
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_BP,2,BP,1,2.47,0.39,2.08,10,10,45.65,42.39,26.48,-21.91
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_BP,2,BP,2,2.02,0.39,1.63,10,10,41.03,58.09,20.52,-16.66
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_BP,2,BP,3,2.65,0.02,2.63,12,12,41.54,87.07,1.39,1.8
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_BP,2,BP,4,3.93,0.71,3.22,12,12,42.78,75.89,4.86,-2.03
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_BP,2,BP,5,3.34,0.74,2.6,10,11,40.01,47.97,21.2,-18.45
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_BP,2,BP,6,1.18,0.36,0.82,3,10,40.46,72.38,5.42,0.93
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_BP,3,BP,1,1.66,0.5,1.16,5,10,45.87,65.93,10.41,-8.44
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_BP,3,BP,2,2.58,0.49,2.09,8,10,46,76.19,-0.86,5
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_BP,3,BP,3,1.36,0.67,0.69,3,10,45.24,67.74,14.88,-12.34
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_BP,3,BP,4,1.83,0.46,1.37,7,10,43.09,54.7,19.04,-16.5
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_BP,3,BP,5,1.9,0.33,1.57,10,12,40.08,76.81,4.74,-0.92
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_BP,3,BP,6,2.47,0.61,1.86,8,10,42.62,76.17,4.96,-2.79
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_BP,4,BP,1,2.53,0.47,2.06,5,10,40.01,37.75,28.73,-23.57
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_BP,4,BP,2,3.06,0.63,2.43,8,11,44.29,76.69,7.06,-4.28
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_BP,4,BP,4,2.24,0.57,1.67,10,13,40.39,90.95,0.54,4.44
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_BP,4,BP,5,1.92,0.54,1.38,8,12,38.23,67.04,10.88,-7.51
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_BP,4,BP,6,1.53,0.37,1.16,8,10,41.77,77.3,6.67,-3.7
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_KW,1,KW,1,3.71,0.61,3.1,7,11,42.98,86.24,-2.15,6.58
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_KW,1,KW,2,3.9,0.68,3.22,7,13,44.62,90.57,-0.85,3.83
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_KW,1,KW,3,3.36,0.63,2.73,7,11,42.36,88.46,-0.53,2.58
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_KW,1,KW,4,3.64,0.47,3.17,7,14,44.06,85.13,-2.29,7.68
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_KW,1,KW,5,4.54,0.43,4.11,7,11,40.88,90.19,-0.7,3.84
Flower,soil,PSC1,PSC1_0.0,PSC1_0.0_KW,1,KW,6,2.94,0.85,2.09,10,15,41.22,91.9,-0.79,3.35
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_KW,2,KW,1,3.37,0.5,2.87,12,15,40.65,88.48,-0.07,3.06
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_KW,2,KW,2,3.25,0.38,2.87,10,14,41.56,90.55,-1.65,6.47
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_KW,2,KW,3,3.14,0.6,2.54,8,12,40,89.27,-0.32,3.15
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_KW,2,KW,4,2.29,0.58,1.71,7,10,41.23,89.92,-0.18,2.37
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_KW,2,KW,5,3.15,0.63,2.52,8,10,44.66,87.59,-0.4,4.19
Flower,soil,PSC1,PSC1_0.3,PSC1_0.3_KW,2,KW,6,3.6,0.85,2.75,8,10,45.98,89.57,-0.02,3.41
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_KW,3,KW,1,3.47,0.76,2.71,7,12,42.63,93.81,-0.57,4.2
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_KW,3,KW,2,2.01,0.51,1.5,8,10,44,85.2,-1.75,9.09
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_KW,3,KW,3,2.72,0.67,2.05,7,13,45.07,85.41,-0.46,2.13
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_KW,3,KW,4,2.42,0.46,1.96,8,14,43.68,90.11,-2.28,7.27
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_KW,3,KW,5,2.59,0.63,1.96,5,10,40.99,90.73,-1.38,5.87
Flower,soil,PSC1,PSC1_0.5,PSC1_0.5_KW,3,KW,6,3.22,0.27,2.95,10,11,43.11,90.37,-3.43,10.84
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_KW,4,KW,1,4.22,0.8,3.42,8,11,44.32,93.95,-0.19,3.17
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_KW,4,KW,2,3.43,0.73,2.7,8,15,42.11,91.25,-1.26,5.17
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_KW,4,KW,3,4.11,0.99,3.12,7,13,42.66,90.12,-0.31,3.66
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_KW,4,KW,4,3.54,0.67,2.87,8,10,43.65,91.77,-0.4,3.43
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_KW,4,KW,5,2.39,0.79,1.6,7,13,43.69,93.14,-0.74,4.5
Flower,soil,PSC1,PSC1_1.0,PSC1_1.0_KW,4,KW,6,4.05,0.71,3.34,10,14,42,93.96,-0.3,4.01
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_AG,1,AG,1,2.6,1.29,1.31,5,10,48.85,80.93,-10.4,18.92
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_AG,1,AG,2,2.79,1.34,1.45,5,11,50.79,80.93,-10.4,18.92
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_AG,1,AG,3,2.45,1.04,1.41,5,10,51.35,83.37,-11.4,21.17
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_AG,1,AG,4,3,1.46,1.54,6,10,52.76,75.38,-13.14,24.48
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_AG,1,AG,5,2.72,1.35,1.37,5,11,49.71,59.81,-13.68,24.43
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_AG,1,AG,6,2.7,1.06,1.64,15,9,49.97,64.63,-8.78,16.32
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_AG,2,AG,1,2.29,1.08,1.21,5,10,46.72,79.96,-13.41,28.18
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_AG,2,AG,2,2.71,0.89,1.82,5,10,38.58,75.02,-12.23,24.52
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_AG,2,AG,3,2.75,1.31,1.44,10,14,41.74,70.7,-13.11,24.17
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_AG,2,AG,4,2.98,1.18,1.8,16,10,43.01,85.66,-9.76,18.06
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_AG,2,AG,5,2.19,0.69,1.5,7,10,43.65,75.22,-11.03,21.1
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_AG,2,AG,6,2.46,1.13,1.33,8,10,48.9,79.38,-11.41,21.68
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_AG,3,AG,1,2.67,1.11,1.56,10,10,44.16,70.23,-10.13,20.41
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_AG,3,AG,2,3.01,1.23,1.78,16,11,49.23,84.22,-7.47,14.68
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_AG,3,AG,3,2.79,1.03,1.76,12,11,39.61,80.78,-9.8,18.64
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_AG,3,AG,4,2.19,0.97,1.22,8,10,39.07,82.84,-7.99,15.32
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_AG,3,AG,5,2.18,1.14,1.04,6,10,44.72,76.13,-10.88,19.56
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_AG,3,AG,6,2.36,1.1,1.26,10,11,43.81,69.66,-8.35,15.9
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_AG,4,AG,1,2.84,0.88,1.96,12,12,49.58,55.04,-13.39,25.07
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_AG,4,AG,2,2.64,1.25,1.39,10,12,37.15,75.6,-7.85,13.93
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_AG,4,AG,3,2.81,1.06,1.75,5,10,49.82,55,-11.17,20.7
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_AG,4,AG,4,2.58,1.58,1,5,10,48.84,76.39,-12.79,23.57
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_AG,4,AG,5,2.63,1.24,1.39,5,10,44.4,61.94,-11.36,19.75
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_AG,4,AG,6,2.47,1.29,1.18,5,9,49.85,74.37,-9.37,17.59
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_KP,1,CP,1,4.34,1.7,2.64,5,17,51.31,79.32,3.63,3.62
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_KP,1,CP,2,4.27,1.59,2.68,6,13,52.13,50.87,3.22,6.69
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_KP,1,CP,3,3.99,1.27,2.72,7,15,52.39,53.05,1.75,11.96
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_KP,1,CP,4,3.23,0.94,2.29,7,11,57.14,72.21,7.16,3.66
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_KP,1,CP,5,2.84,1.53,1.31,5,10,48.79,79.79,6.82,3.07
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_KP,1,CP,6,3.54,1.27,2.27,5,12,55.22,79.54,3.01,2.28
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_KP,2,CP,1,3.56,1.24,2.32,5,16,47.31,78.66,7.17,2.2
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_KP,2,CP,2,3.17,1.07,2.1,5,12,53.97,74.56,5.49,3.83
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_KP,2,CP,3,3.37,1.37,2,5,12,53.6,83.1,9.73,3.79
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_KP,2,CP,4,3.61,1.54,2.07,10,14,47.27,81.2,9.25,4.46
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_KP,2,CP,5,2.88,1.42,1.46,6,10,50.18,83.41,5.73,3.86
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_KP,2,CP,6,3.38,1.53,1.85,5,13,55.02,85.15,5.11,4.08
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_KP,3,CP,1,3.85,1.21,2.64,12,16,51.6,84.68,6.85,3.7
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_KP,3,CP,2,3.82,1.44,2.38,8,13,53.11,63.41,4.09,2.69
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_KP,3,CP,3,3.25,1.06,2.19,8,15,47.53,81.53,3.78,3.68
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_KP,3,CP,4,3.04,1.16,1.88,8,11,48.61,85.41,5.19,4.03
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_KP,3,CP,5,4.47,0.58,3.89,7,21,50.14,80.84,3.24,2.35
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_KP,3,CP,6,3.91,1.63,2.28,7,12,54.84,78.91,4.21,4.26
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_KP,4,CP,1,3.72,1.29,2.43,10,15,45.68,75.68,9.61,2.66
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_KP,4,CP,2,3.45,1.19,2.26,12,13,49.68,79.77,10.62,3.32
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_KP,4,CP,3,3.34,1.36,1.98,6,15,53.11,79.16,9.06,2.37
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_KP,4,CP,4,3.77,1.18,2.59,5,12,55.45,86.7,6.72,4.32
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_KP,4,CP,5,4.11,1.07,3.04,6,12,56.35,86.47,8.43,4.42
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_KP,4,CP,6,3.88,1.6,2.28,6,13,55.77,80.07,1.93,3.88
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_BP,1,BP,1,2.99,1.02,1.97,9,11,46.22,83.48,4.42,-2.17
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_BP,1,BP,2,2.35,1.08,1.27,7,10,42.4,66.35,-0.45,2.38
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_BP,1,BP,3,2.84,1.29,1.55,9,15,43.1,75.51,0.28,5.52
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_BP,1,BP,4,3.01,1.1,1.91,7,11,43.85,70.26,7.7,-4.57
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_BP,1,BP,5,3.05,0.91,2.14,7,12,47.97,58.58,9.77,-7.53
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_BP,1,BP,6,2.12,0.81,1.31,12,10,43.48,89.09,-0.35,2.18
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_BP,2,BP,1,3.72,1.24,2.48,12,18,39.35,32.85,26.28,-21.47
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_BP,2,BP,2,3.78,1,2.78,10,16,41.19,63.4,14.37,-12.82
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_BP,2,BP,3,3.47,1.23,2.24,8,10,40.98,82.09,0.06,1.18
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_BP,2,BP,4,2.77,0.77,2,7,13,40.02,39.41,32.15,-25.77
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_BP,2,BP,5,4.28,1.1,3.18,10,19,42.09,72.77,1.07,1.48
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_BP,2,BP,6,2.99,1.18,1.81,10,13,41.42,86.83,-0.5,3.16
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_BP,3,BP,1,2.88,0.84,2.04,11,10,45.94,73.99,5.46,-3.01
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_BP,3,BP,2,3.94,0.77,3.17,7,15,47.01,72.74,5.92,-3.01
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_BP,3,BP,3,2.73,0.79,1.94,11,11,41.83,50.38,22.85,-19.63
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_BP,3,BP,4,2.75,0.88,1.87,16,10,47.2,85.55,2.53,-0.81
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_BP,3,BP,5,4.84,1.57,3.27,16,16,48.42,63.5,13.8,-10.41
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_BP,3,BP,6,2.65,0.99,1.66,16,10,44.13,75.77,9.46,-7.06
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_BP,4,BP,1,2.93,0.71,2.22,8,10,38.83,69.41,11.36,-9.65
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_BP,4,BP,2,2.32,0.95,1.37,8,10,43.33,73.08,8.45,-5.67
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_BP,4,BP,3,3.89,0.76,3.13,8,10,49.96,43.15,31.49,-26.81
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_BP,4,BP,4,2.91,0.95,1.96,10,15,46.05,67.91,7.71,-5.22
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_BP,4,BP,5,3.02,1.67,1.35,10,16,42.16,87.92,0.5,2.51
Flower,Nutrient solution,HSV,NSA1_0.5,NSA1_0.5_BP,4,BP,6,2.77,1.19,1.58,12,10,43.99,87.92,0.5,2.51
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_KW,1,KW,1,3.67,1.42,2.25,8,10,48.66,89.14,-0.82,2.72
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_KW,1,KW,2,3.92,1.52,2.4,5,15,54.56,91.11,-0.63,3.37
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_KW,1,KW,3,3.57,0.66,2.91,8,11,52.01,91.03,-0.57,2.6
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_KW,1,KW,4,4.35,1.42,2.93,6,15,45.81,89.91,-0.79,3.43
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_KW,1,KW,5,4.73,0.62,4.11,11,15,49.88,90.44,-0.74,3.29
Flower,Nutrient solution,HSV,NSA1_0.0,NSA1_0.0_KW,1,KW,6,4.19,0.84,3.35,8,15,41.63,89.06,-0.79,3.63
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_KW,2,KW,1,3.38,1.9,1.48,6,15,45.7,83.31,-0.7,2.92
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_KW,2,KW,2,3.86,1.49,2.37,8,10,45.56,68.44,-1.44,3.77
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_KW,2,KW,3,3.58,1.24,2.34,5,12,48.17,87.04,-3.11,8.16
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_KW,2,KW,4,3.89,1.22,2.67,6,15,48.15,89.41,-0.22,2.08
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_KW,2,KW,5,4,1.23,2.77,8,10,46.85,86.06,-1.13,4.23
Flower,Nutrient solution,HSV,NSA1_0.1,NSA1_0.1_KW,2,KW,6,4.43,0.81,3.62,8,15,51.7,84.43,-0.88,3.43
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_KW,3,KW,1,3.46,1.42,2.04,8,10,48.379,84.95,-0.54,2.46
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_KW,3,KW,2,4.11,0.48,3.63,8,15,43,90.18,-0.43,2.68
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_KW,3,KW,3,4.06,1.4,2.66,8,15,39.72,90.16,-0.95,5.29
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_KW,3,KW,4,3.14,0.7,2.44,10,10,41,87.4,-0.38,2.13
Flower,Nutrient solution,HSV,NSA1_0.3,NSA1_0.3_KW,3,KW,5,3.98,0.7,3.28,12,15,37.83,90.02,-2.2,5.74
