Cultivar,L_1,a_1,b_1,C_1,h_1,L_6,a_6,b_6,C_6,h_6,L_9,a_9,b_9,C_9,h_9,L_11,a_11,b_11,C_11,h_11,L_14,a_14,b_14,C_14,h_14,Vase_life
AG,81.11,-10.91,20.63,23.33720206,-1.084342628,70.5,-4.58,10.74,11.67578691,-1.167703909,78.76,-9.45,17.72,20.08235295,-1.080868292,80.99,-11.06,24.1,26.51666646,-1.140548375,84.26,-8.2,21.17,22.70261879,-1.201250656,10
AG,81.73,-11.54,21.69,24.56883595,-1.081844579,73.36,-4.89,11.06,12.09279538,-1.154503145,81.41,-10.14,18.86,21.41306143,-1.077487549,81.04,-11.09,24.15,26.57462323,-1.140307128,84.59,-8.21,21.18,22.71555634,-1.200999154,10
AG,70.15,-7.01,15.27,16.80217248,-1.140425378,81.6,-10.69,23.01,25.37195696,-1.135883533,82.7,-8.16,17.51,19.31801491,-1.134700799,82.3,-10.4,21.78,24.13562512,-1.125308323,80.01,-8.25,21.53,23.05652619,-1.204868055,10
AG,73.51,-7.1,14.82,16.43296687,-1.124022456,81.27,-10.55,22.81,25.13162549,-1.137582615,83.29,-8.16,17.54,19.34521129,-1.135355851,82.53,-10.44,22.09,24.43279968,-1.129298152,80.03,-8.28,21.59,23.12328913,-1.204585016,10
AG,76.61,-7.66,15.94,17.68499929,-1.122827757,82.04,-10.76,22.87,25.27477992,-1.131037978,83.16,-8.3,17.65,19.50416622,-1.131226632,82.66,-10.54,22.19,24.56598665,-1.127357183,80.82,-8.65,22.29,23.90955039,-1.200619679,10
AG,80.82,-6.54,11.61,13.325303,-1.057793671,84.08,-8.84,16.2,18.45496139,-1.071276625,81.37,-8.72,16.44,18.60945996,-1.083114885,84.63,-9.16,18.83,20.93978271,-1.118041068,82.69,-9.03,20.63,22.51972025,-1.158207899,10
AG,82.46,-7.1,12.17,14.08967352,-1.04267079,84.35,-9.05,16.4,18.73132403,-1.066549772,81.89,-8.75,16.48,18.65885581,-1.082699024,85.88,-9.69,19.93,22.16079872,-1.118248161,83.02,-9.13,20.9,22.80716773,-1.158938219,10
AG,83.39,-7.37,12.5,14.51092347,-1.038058982,84.34,-9.1,16.43,18.78177042,-1.06499068,72.27,-8.76,16.7,18.8580911,-1.087701454,86.03,-9.89,20.14,22.4372837,-1.114324198,83.36,-9.32,21.11,23.07584235,-1.155036022,10
AG,84.65,-10.47,17.8,20.65092976,-1.039096811,80.56,-8.43,16.73,18.73386773,-1.104045362,81.43,-12.3,23.41,26.44462327,-1.087022883,82.99,-12.75,25.14,28.18833269,-1.101437214,82.47,-9.85,24.32,26.23899579,-1.185972921,9
AG,84.68,-10.35,17.66,20.46944308,-1.040682285,79.32,-7.58,15.52,17.27213942,-1.116470043,80.41,-12.03,23.14,26.08027032,-1.091372287,83.33,-13,25.53,28.64927399,-1.099811978,82.54,-9.82,24.21,26.12578228,-1.185456666,9
AG,85.08,-10.54,17.82,20.70371947,-1.036672303,79.77,-7.7,15.56,17.36097924,-1.111270281,80.16,-11.89,22.96,25.85601864,-1.092965272,83.19,-12.87,25.33,28.41207138,-1.100695163,82.56,-9.83,24.23,26.1480745,-1.185389769,9
AG,77.58,-8.24,14.94,17.06168808,-1.066771933,83.58,-9.28,18.69,20.86706736,-1.109934823,83.23,-11.84,24.86,27.53552614,-1.126314662,67.76,-8.34,24.73,26.09843865,-1.245531913,60.15,-3.46,21.7,21.97411204,-1.412680303,7
AG,78.16,-8.34,14.93,17.10147654,-1.061369207,83.36,-9.26,18.64,20.81338992,-1.109727139,84.02,-12.06,25.24,27.97322291,-1.125055342,67.87,-8.2,24.69,26.01607388,-1.250139731,60.31,-3.4,21.7,21.96474448,-1.415377881,7
AG,78.86,-8.49,15.23,17.43654209,-1.062249517,83.28,-9.17,18.6,20.7376204,-1.112755733,83.9,-12.05,25.12,27.86066941,-1.123522274,67,-8.31,24.71,26.06990986,-1.246377171,58.83,-2.93,20.2,20.41139143,-1.42675142,7
AG,82.99,-4.17,8.43,9.404988038,-1.111428292,67.76,-7.63,17.2,18.81639976,-1.153273486,82.58,-7.66,14.94,16.78925847,-1.097026528,84.8,-10.66,20.41,23.02615252,-1.089473791,85.97,-9.16,18.41,20.56292051,-1.109106088,14
AG,83.28,-4.28,8.46,9.481033699,-1.102431772,71.88,-3.64,11.18,11.75763582,-1.256038665,84.6,-8.16,15.52,17.53442329,-1.086743387,84.91,-10.87,20.71,23.38933518,-1.087453426,85.94,-9.32,18.58,20.78650524,-1.105857841,14
AG,83.29,-4.3,8.52,9.543605189,-1.103399907,71.27,-3.8,10.49,11.15706503,-1.223250531,84.73,-8.14,15.6,17.59601091,-1.089865233,84.87,-10.88,20.83,23.50028298,-1.089449767,85.96,-9.35,18.63,20.84464919,-1.105646895,14
AG,86.02,-3.9,7.67,8.604585987,-1.100392064,84.42,-7.02,14.06,15.71508829,-1.10771787,70.97,-6.1,13.06,14.41435396,-1.133833878,84.7,-11.4,22.46,25.18752866,-1.101111859,86.22,-5.36,12.63,13.72029519,-1.169445534,12
AG,87.84,-4.74,9.51,10.6258035,-1.108411343,85.18,-7.23,14.57,16.26523286,-1.110173179,75.84,-7.45,15.41,17.11638396,-1.120474294,85.4,-11.8,23.25,26.07302246,-1.101145359,87.04,-5.47,12.93,14.03943731,-1.1705809,12
AG,88.2,-5.14,10.15,11.37726241,-1.102038699,85.38,-7.22,14.65,16.33251052,-1.112898928,78.02,-8.62,17.25,19.28385076,-1.107380629,85.61,-11.7,23.27,26.04578469,-1.104916579,87.25,-5.64,13.08,14.2441567,-1.163692155,12
AG,80.9,-10.73,19.95,22.65249214,-1.077333341,88.23,-6.91,15.45,16.92485155,-1.150232329,83.9,-10.94,21.41,24.04312168,-1.098406381,84.29,-10.13,19.68,22.13412072,-1.095429715,85.72,-5.76,13.98,15.12011905,-1.17997344,12
AG,81.51,-10.42,19.54,22.14470591,-1.080892127,88.33,-6.96,15.62,17.10046783,-1.151621992,83.91,-10.97,21.45,24.09239299,-1.098052997,84.62,-10.35,20.07,22.58157213,-1.094671647,85.91,-5.76,14,15.13861288,-1.180476722,12
AG,83.11,-10.17,19.5,21.99270106,-1.090066792,88.41,-7.16,15.96,17.49248982,-1.149089309,83.89,-11,21.58,24.22181661,-1.099394073,84.96,-10.49,20.38,22.92126742,-1.095441936,86.7,-5.97,14.31,15.50538616,-1.175558712,13
AG,86.6,-6.39,12.31,13.86968637,-1.091993477,74.43,-2.79,8.03,8.500882307,-1.236397637,77.61,-8.69,17.9,19.89789185,-1.118836205,77.69,-7.2,13.84,15.60082049,-1.091095051,84.47,-5.21,11.74,12.84413096,-1.153125357,13
AG,86.64,-6.07,11.79,13.26080691,-1.095344882,74.47,-2.74,8.13,8.579306499,-1.245728424,77.75,-8.85,18.22,20.25563872,-1.118629777,76.44,-6.94,13.39,15.08163453,-1.092618305,86.3,-5.96,13.01,14.31019567,-1.141219331,13
