Cultivar,L_1,a_1,b_1,C_1,h_1,L_6,a_6,b_6,C_6,h_6,L_9,a_9,b_9,C_9,h_9,L_11,a_11,b_11,C_11,h_11,L_14,a_14,b_14,C_14,h_14,Vase_life
AG,77.77,-6.15,11.33,12.89152435,-1.073492566,86.08,-9.48,19.67,21.8352765,-1.121690913,82.21,-8.68,16.72,18.838811,-1.091955205,79.81,-11.54,24.98,27.51675853,-1.138033203,69.61,-2.16,17.62,17.75190131,-1.448816957,9
AG,81,-6.19,11.27,12.85803251,-1.068532352,85.99,-9.36,19.54,21.66613025,-1.12407526,83.4,-8.86,16.82,19.01083901,-1.085975412,79.39,-11.53,24.99,27.52164603,-1.138515439,71.67,-2.6,18.91,19.08790455,-1.434159652,9
AG,82.54,-6.15,11.23,12.80372602,-1.06976663,86.24,-9.44,19.67,21.81793987,-1.123342464,83.71,-8.81,16.77,18.94331016,-1.087080574,80.36,-11.82,25.41,28.02464094,-1.135397906,72.96,-2.83,19.64,19.84284506,-1.42768767,9
AG,86.33,-6.67,12.18,13.88673108,-1.06978294,81.96,-6.28,13.52,14.90734047,-1.135952274,82.51,-7.76,15.7,17.51306941,-1.111745212,86.86,-9.84,20.74,22.95589685,-1.127800497,86.67,-6.82,17.78,19.04312999,-1.204527334,11
AG,86.65,-6.89,12.43,14.21186124,-1.064654629,82.97,-6.34,13.79,15.17760521,-1.139861101,83.06,-7.73,15.78,17.57160494,-1.115293104,87.12,-9.83,20.9,23.09629624,-1.131161146,87.24,-6.8,17.81,19.0640001,-1.206070422,11
AG,86.61,-6.94,12.4,14.20998241,-1.060553609,83.15,-6.43,13.84,15.26075031,-1.135871394,83.29,-7.82,15.86,17.68309928,-1.112712646,87.27,-9.89,21.03,23.23947073,-1.131205674,87.4,-6.82,17.84,19.09916229,-1.205652413,11
AG,83.69,-12.92,24.23,27.45941187,-1.080924689,82.68,-12.09,23.93,26.81068817,-1.1029786,84.12,-11.22,21.55,24.29590295,-1.090765795,85.92,-8.31,17.86,19.69862178,-1.135303892,81.47,-6.21,21.93,22.79230133,-1.294847052,10
AG,84.45,-12.41,23.05,26.17843769,-1.076906702,82.6,-12.06,23.83,26.70791081,-1.102292761,84.25,-11.23,21.55,24.30052263,-1.09040079,85.36,-8.27,17.75,19.58201726,-1.134786184,81.43,-6.22,22.55,23.39211192,-1.301657255,10
AG,84.99,-12.4,22.99,26.12087479,-1.076154878,82.65,-12.05,23.82,26.69447321,-1.102457849,84.35,-11.31,21.68,24.45278103,-1.089956338,85.21,-8,17.44,19.18732915,-1.140718192,81.41,-6.38,22.62,23.50252752,-1.295886485,10
AG,63.2,-3.67,8.06,8.856212509,-1.143514689,75.11,-5.79,12.4,13.68517811,-1.133948446,83.35,-11.16,20.6,23.42873449,-1.074311023,79.33,-8.85,19.08,21.0325676,-1.136495746,78.27,-5.55,22.8,23.46577295,-1.332019135,10
AG,56.57,-2.82,7.57,8.078199057,-1.214198936,76.11,-5.8,12.23,13.53561598,-1.127965274,83.96,-11.29,20.93,23.78085364,-1.07611447,80.78,-8.55,18.02,19.94549824,-1.12777822,78.47,-7.01,22.35,23.42354798,-1.266867272,10
AG,55.92,-2.34,7.18,7.551688553,-1.25574584,76.7,-5.81,12.14,13.45866635,-1.124428487,84.04,-11.28,20.9,23.74970316,-1.075885358,81.82,-8.92,18.68,20.7004541,-1.125297114,78.51,-6.99,22.38,23.44620438,-1.268064119,10
AG,85.94,-7.22,13.1,14.95788755,-1.067074433,86.28,-11.02,21.13,23.83101551,-1.090070799,85.34,-7.09,13.64,15.37262827,-1.091438634,86.21,-9.18,17.27,19.55825401,-1.0822225,89.3,-4.99,10.59,11.70675873,-1.13045363,14
AG,86.49,-7.57,13.7,15.65231293,-1.065993816,83.34,-10.2,19.89,22.35289914,-1.09694499,86.74,-7.33,14.21,15.98915257,-1.09456197,85.31,-8.89,16.7,18.91882924,-1.081616315,89.46,-5.22,11,12.17572996,-1.127718924,14
AG,86.24,-7.31,13.13,15.02774101,-1.062792962,85.54,-10.62,20.6,23.1763759,-1.094798902,86.83,-7.57,14.49,16.3482415,-1.089366735,86.14,-9.26,17.46,19.76358267,-1.083160563,89.55,-5.25,11.11,12.287986,-1.129351112,14
AG,70.07,-5.67,10.48,11.9155067,-1.074865533,79.31,-10.1,21.32,23.59136283,-1.12838178,82.72,-11,20.85,23.5737672,-1.085330549,86.45,-8.69,22.44,24.0638671,-1.201325155,80.74,-4.03,21.29,21.66806406,-1.38371901,9
AG,68.17,-4.8,9.32,10.48343455,-1.095203893,80.76,-10.65,22.37,24.77578253,-1.126463882,82.65,-10.88,20.79,23.46483539,-1.088660546,85.8,-8.44,22.2,23.75023368,-1.207491881,81.04,-4.22,21.54,21.94948747,-1.377332126,9
AG,70.08,-5.66,10.48,11.91075145,-1.075603963,81.75,-11.37,23.72,26.30428292,-1.123811008,82.73,-11.07,21.01,23.74794728,-1.08586732,85.74,-8.46,22.1,23.66393036,-1.205200162,81.11,-4.17,21.52,21.92029425,-1.379395148,9
AG,85.38,-9.49,17.05,19.51313916,-1.062901406,84.14,-9.66,18.84,21.17217986,-1.097009648,80.25,-11.42,21.23,24.10662357,-1.077276389,87.21,-8.1,15.96,17.89780992,-1.101151788,87.23,-8.26,20.9,22.47304163,-1.194421475,11
AG,80.86,-7.56,14,15.91080136,-1.075663063,84.55,-10.01,19.71,22.10620275,-1.100877305,80.81,-11.26,20.88,23.72260525,-1.076226853,86.36,-7.59,14.93,16.74852232,-1.10047325,86.66,-7.99,20.24,21.7600023,-1.194812875,11
AG,71.27,-7.42,15.01,16.74384962,-1.111689285,84.92,-10.28,20.05,22.53177534,-1.097025999,80.63,-11.15,20.81,23.60886698,-1.078920478,86.58,-7.57,15.02,16.81978894,-1.103958088,86.62,-8.1,20.27,21.82848827,-1.19063023,11
AG,70.51,-9.53,18.13,20.48213368,-1.086841398,81.09,-9.26,18.28,20.49160804,-1.101910878,83.01,-11.54,22.42,25.21563007,-1.095442974,86,-8.28,20.47,22.08119788,-1.186421497,87.39,-8.58,20.4,22.13089244,-1.17266841,10
AG,69.83,-9.53,18.48,20.792578,-1.094673564,80.98,-9.49,18.55,20.83656882,-1.097919531,82.48,-11.32,22.16,24.88389037,-1.098522045,85.46,-8.31,20.45,22.07393486,-1.184821846,87.88,-8.65,20.35,22.11210076,-1.168873653,10
AG,69.29,-9.81,19.49,21.81962878,-1.104484244,81.14,-9.57,18.66,20.97094418,-1.096912351,82.67,-11.48,22.41,25.17932684,-1.097379934,85.44,-8.35,20.51,22.14458399,-1.184168433,88.17,-8.71,20.44,22.21840903,-1.167972973,10
AG,80.97,-14.32,26.61,30.21844635,-1.077101501,81.76,-9.3,18.6,20.79543219,-1.107148718,83.66,-8.39,14.93,17.12591603,-1.058820366,83.69,-11.7,23.66,26.39480252,-1.111553976,77.06,-5.32,21.9,22.53691194,-1.332489971,11
AG,80.58,-13.54,25.39,28.77470591,-1.080879886,80.16,-9.89,18.29,20.79269583,-1.075096002,83.92,-8.56,14.98,17.25323158,-1.051650213,83.7,-11.81,23.81,26.57803981,-1.110345745,77.11,-5.35,21.84,22.48573103,-1.33056361,11
AG,79.15,-11.91,22.54,25.49313045,-1.084692413,79.72,-9.32,18.66,20.85804401,-1.107577534,84.12,-8.55,14.97,17.23958816,-1.051866055,83.86,-11.92,24.03,26.82400604,-1.11031643,77.07,-5.58,21.91,22.60938964,-1.321419494,11
AG,85.19,-7.75,13.89,15.90580397,-1.061865875,82.86,-9.91,19.17,21.5800139,-1.09367803,84.15,-9.71,18.35,20.76069845,-1.084097426,80.4,-11.46,27.87,30.13417495,-1.180676639,84.28,-10.41,24.83,26.92391131,-1.173805273,10
AG,84.85,-7.21,12.85,14.73453766,-1.059478994,83.66,-9.77,18.87,21.24923057,-1.093047358,83.94,-9.49,18.03,20.3750092,-1.086295539,76.72,-10.51,25.68,27.74747736,-1.18232599,84.36,-10.3,24.72,26.78,-1.176005207,10
AG,84.77,-7.1,12.69,14.54118633,-1.06069202,83.74,-9.83,17.8,20.33393469,-1.066229463,82.58,-8.71,16.75,18.87926376,-1.091277035,70.35,-8.33,21.81,23.34662717,-1.205959656,84.37,-10.38,24.7,26.79243177,-1.172961863,10
AG,75.43,-8.35,15.72,17.80002528,-1.082524392,82.81,-8.45,16.81,18.81431902,-1.105009429,85.05,-4.62,9.98,10.99749062,-1.137245404,84.58,-5.91,12.46,13.79056562,-1.127904738,82.65,-4.24,13.37,14.02620761,-1.263700867,11
AG,75.71,-7.58,14.24,16.1317699,-1.081641217,82.37,-8.4,16.79,18.77402727,-1.106910509,84.91,-4.52,9.86,10.84665847,-1.140964206,85.14,-5.96,12.66,13.99275527,-1.130801595,85.87,-4.85,14.7,15.47942182,-1.252110114,11
AG,78.19,-8.14,15.09,17.14548629,-1.076104415,81.92,-8.36,16.65,18.63094469,-1.105468451,84.55,-4.61,9.76,10.79396591,-1.129523765,84.66,-5.89,12.55,13.8634267,-1.131990331,86.51,-5,14.89,15.70707166,-1.24683116,11
AG,84.53,-9.6,18.04,20.43530279,-1.081760129,84.82,-8.73,17.26,19.34219481,-1.102524473,67.72,-7.67,17.01,18.65928723,-1.147184881,84.59,-7.83,20.37,21.82305661,-1.203819887,80.48,-4,19.54,19.94521496,-1.368877691,9
AG,83.71,-8.8,16.59,18.77945952,-1.083094283,84.87,-8.75,17.32,19.40476488,-1.10300032,68.36,-7.99,17.67,19.39249855,-1.146131958,84.02,-7.66,20.27,21.66906782,-1.209487043,80.5,-3.99,19.45,19.85503966,-1.368462048,9
AG,83.14,-8.24,15.31,17.38659541,-1.07704973,85.06,-8.79,17.37,19.46743435,-1.102324496,69.48,-8.1,18.06,19.79327158,-1.149186353,83.93,-7.58,20.24,21.61282027,-1.212458885,80.55,-3.94,19.35,19.74705294,-1.369924765,9
AG,78.57,-9.22,17.24,19.55060101,-1.079695662,76.33,-10.82,21.78,24.31955592,-1.109723188,82.51,-10.29,22.37,24.62318014,-1.139664965,81.35,-8.7,21.54,23.23061773,-1.186932648,74.88,-3.02,21.86,22.06762334,-1.433513441,8
AG,68.42,-7.59,14.65,16.49941211,-1.092782669,70.67,-8.78,18.74,20.69483027,-1.132651186,82.54,-10.32,22.35,24.61757299,-1.138218324,81.45,-8.61,21.48,23.14135908,-1.189567754,74.87,-2.95,21.96,22.1572584,-1.437260602,8
AG,65.56,-7.02,13.52,15.23387016,-1.091882728,74.08,-9.43,20.05,22.15688155,-1.131169939,83.01,-10.32,22.44,24.69931173,-1.139745863,81.43,-8.74,21.47,23.18077868,-1.184201745,74.9,-2.84,21.94,22.12304681,-1.442068182,8
AG,82.7,-13.3,23.67,27.15067034,-1.058868325,85.85,-9.81,19.31,21.65899813,-1.100747814,81.17,-10.52,19.6,22.24478366,-1.078194623,85.44,-9.02,18.2,20.31256754,-1.11067138,84.75,-7.03,17.81,19.14724523,-1.194848157,11
AG,82.77,-12.67,22.65,25.95286882,-1.060778669,85.61,-9.86,19.31,21.68169043,-1.098691824,81.27,-10.22,19.27,21.8124116,-1.083158243,83.57,-8.43,17,18.97537615,-1.110448258,84.91,-7.12,17.95,19.31053857,-1.193174834,11
AG,81.02,-12.66,22.87,26.14024675,-1.065221249,85.5,-9.78,19.3,21.63650619,-1.101774648,82.14,-9.28,17.5,19.80829119,-1.083214716,83.59,-8.55,17.29,19.28850953,-1.111553976,85.92,-7.4,18.77,20.17604768,-1.195259996,11
AG,84.05,-8.08,13.7,15.90523184,-1.037924667,82.57,-12.32,24.32,27.26251639,-1.101899422,75.39,-10.43,19.87,22.44107395,-1.08741837,80.92,-10.28,23.31,25.47615552,-1.155441544,84.61,-10.25,23,25.18059769,-1.151563933,14
AG,81.57,-7.82,13.43,15.54082688,-1.04350928,82,-12.08,23.89,26.77047814,-1.102638224,76.87,-11.04,20.83,23.57478526,-1.083433999,81.13,-10.31,23.33,25.50656778,-1.154681783,85.24,-10.42,22.94,25.19563454,-1.144431611,14
AG,77.54,-6.91,12.19,14.01228746,-1.055102443,82.1,-12.09,23.89,26.77499206,-1.102304927,77.49,-11.2,21.16,23.94129487,-1.083983953,81.4,-10.39,23.48,25.67610757,-1.154193318,85.36,-10.53,23.1,25.38682532,-1.143093039,14
CP,68.84,12.26,1.28,12.32663782,0.104027682,80.83,9.98,1.14,10.0448992,0.113735488,75.87,15.73,0.23,15.73168141,0.0146207,71.16,15.8,3.09,16.09931986,0.193131973,81.27,10.02,5.06,11.22515033,0.467631652,8
CP,73.19,10.9,1.73,11.03643511,0.157402668,81.1,9.46,1.11,9.52489895,0.116802071,76.56,15.96,0.37,15.96428827,0.023178806,72.74,13.32,2.08,13.48142426,0.154905133,81.22,10.19,5.21,11.44465814,0.472635253,8
CP,69.33,6.76,5.1,8.46803401,0.646335301,82.29,9.72,1.37,9.816073553,0.140024128,76.9,16.31,0.48,16.31706162,0.029421306,73.89,11.71,1.68,11.82989856,0.142494783,81.2,10.16,5.21,11.41795516,0.473831354,8
CP,68.58,17.52,-0.33,17.5231076,-0.018833389,78.53,13.69,0.44,13.69706903,0.032129188,76.28,12.41,0.28,12.41315834,0.022558622,69.83,16.38,0.95,16.40752571,0.05793266,54.41,1.77,29.77,29.82257199,1.511410409,9
CP,67.57,10.5,-0.29,10.504004,-0.027612028,79.34,14.06,0.43,14.06657385,0.030573685,75.6,11.61,0.21,11.61189907,0.018085883,70.46,16.02,1.49,16.0891423,0.092741928,54.72,0.64,29.17,29.17702007,1.548859497,9
CP,66.66,9.4,-0.19,9.401920017,-0.020210014,80.47,14.51,0.73,14.52835159,0.050267748,68.46,10.71,0.37,10.71638932,0.034533418,68.11,14.28,2.13,14.43798116,0.148068002,54.93,0.77,29.23,29.24014022,1.544459619,9
CP,77.02,9.26,1.81,9.435237146,0.193030591,81.77,5.96,1.93,6.264702706,0.313169241,82.52,6.91,1.71,7.118440841,0.242593659,82.21,2.57,6.88,7.344337955,1.213300556,80.24,3.36,7.97,8.649306331,1.171825224,10
CP,78.32,9.33,2.13,9.570047022,0.224449228,80.78,5.95,1.78,6.21054748,0.290685666,81.2,6.33,1.52,6.509938556,0.235664476,82.44,2.47,6.95,7.375866051,1.229322773,82.4,3.16,8.37,8.946647417,1.209801694,10
CP,81.86,5.39,2.47,5.928996542,0.429698394,80.6,5.87,1.76,6.128172648,0.291300496,81.42,6.6,1.74,6.82551097,0.257771142,82.48,2.48,6.96,7.388639929,1.228500718,83.31,3.14,8.62,9.174093961,1.22146656,10
CP,78.6,8.66,-0.48,8.673292339,-0.055370595,71.68,8.38,2.27,8.682010136,0.264534706,72.3,15.69,3.72,16.12496512,0.23279515,76.53,11.31,7.11,13.35919908,0.561217734,74.36,9.99,9.83,14.01531305,0.777325685,7
CP,79.07,9.62,-0.39,9.62790216,-0.040518352,72.47,8.17,1.78,8.361656534,0.214517977,72.08,15.61,3.73,16.04945482,0.234551355,76.63,11.42,7.2,13.50023703,0.562525175,74.76,9.97,9.98,14.10678206,0.785899416,7
CP,77.77,11.97,-0.82,11.99805401,-0.068397734,73.41,8.16,2.17,8.443607049,0.259915788,71.85,15.87,3.77,16.31164615,0.233231992,76.62,11.34,7.24,13.45411461,0.568211374,74.87,10.07,10.05,14.22699547,0.784404128,7
CP,77.9,11.87,-0.43,11.87778599,-0.036209945,84.15,8.31,0.75,8.343776124,0.090008846,79.2,15.95,1.11,15.98857717,0.069480454,77.54,12.25,4.46,13.03664451,0.349164214,77.3,8.41,10.86,13.73563613,0.9118603,7
CP,74.09,10.34,-0.11,10.34058509,-0.010637897,84.09,8.15,0.74,8.183526135,0.090549255,79.14,15.99,1.11,16.0284809,0.069307201,77.84,12.3,4.5,13.09732797,0.350727948,77.84,8.56,11.16,14.06482136,0.916487903,7
CP,74.12,12.66,-0.19,12.66142567,-0.015006772,84.15,8.24,0.73,8.272272965,0.088361544,79,16.05,1.15,16.09114663,0.071528851,74.54,11.88,3.93,12.51316507,0.319476108,77.93,8.49,11.08,13.95874278,0.91697892,7
CP,83.62,8.94,1.4,9.048955741,0.155337946,78.16,7.19,3.6,8.040901691,0.464203782,82.83,9.92,5.18,11.19101425,0.481231728,74.94,8.25,11.38,14.05584932,0.943516934,67.02,8.73,19.35,21.22817467,1.146975844,6
CP,83.21,8.29,1.72,8.466551836,0.204576349,71.38,10.96,3.94,11.64668193,0.34510318,82.97,10.06,5.2,11.32446908,0.477074922,74.99,8.29,11.35,14.05512718,0.939959974,67.85,8.46,19.21,20.9903716,1.155958043,6
CP,82.52,8.17,1.81,8.368094168,0.218020858,71.33,10.85,4.01,11.56730738,0.354015065,82.87,9.89,5.19,11.16907337,0.483268639,74.59,8.19,11.14,13.8266301,0.936842158,68.01,8.55,19.07,20.89898084,1.149316895,6
CP,77.97,6.2,1.23,6.320830642,0.195844211,85.72,4.73,2.21,5.22082369,0.437090016,84.05,9.92,1.67,10.05958747,0.16678293,78.98,11.41,3.89,12.05488283,0.328571015,83.07,5.64,7.01,8.997205122,0.893278096,9
CP,83.34,8.31,1.68,8.478118895,0.199477444,81.88,4.5,2.27,5.040128967,0.46719684,84.05,18.18,1.76,18.26499384,0.096508933,76.99,10.18,3.21,10.67410418,0.3054557,83.72,5.61,7.02,8.98623948,0.896576761,9
CP,75.22,5.16,1.81,5.468244691,0.337365248,85.4,4.31,2.36,4.913827429,0.500970888,84.09,18.24,1.83,18.33157113,0.099994332,77.91,10.49,3.52,11.06483168,0.323751123,83.86,5.64,6.99,8.981631255,0.891882222,9
CP,80.02,6.46,0.06,6.460278632,0.009287659,86.07,7.9,1.34,8.012839696,0.168021054,77.28,7.51,1.48,7.654443154,0.194577222,78.99,13.76,2.12,13.92235612,0.152867764,79.38,9.99,9.08,13.49987037,0.737715404,9
CP,57.22,9.9,-0.88,9.939034158,-0.088655882,86.4,7.89,1.46,8.023945414,0.182974658,77.14,7.22,1.32,7.339673017,0.180828396,78.66,13.76,2.09,13.91781951,0.150737389,79.41,9.87,8.14,12.79361169,0.689634237,9
CP,54.22,10.19,-1.15,10.25468673,-0.112380243,86.61,8.82,1.58,8.960401777,0.177258177,76.73,7.96,1.52,8.103826257,0.188683292,78.38,13.59,2.07,13.74674507,0.151156049,79.43,9.82,8.13,12.74869797,0.691524468,9
CP,73.64,8.17,-0.58,8.190561641,-0.070872531,83.53,8.35,1.88,8.559024477,0.221456925,74.75,11.07,0.53,11.08268018,0.047840614,76.21,12.11,4.91,13.06752463,0.385195841,74.31,10.81,8.34,13.65326701,0.657124643,8
CP,71.59,6.8,-0.3,6.80661443,-0.044089057,81.6,8.03,1.45,8.159865195,0.178647757,41.89,10.88,-4.32,11.70627182,-0.377968311,76.25,12.01,4.93,12.98248821,0.38951772,74.19,10.72,8.46,13.65613415,0.66810792,8
CP,73.05,6.83,0.05,6.830183014,0.007320513,81.06,7.94,1.37,8.057325859,0.170861735,45.49,10.09,-3.72,10.75390627,-0.353220009,76.42,12.01,4.95,12.99009623,0.390942024,74.39,10.64,8.4,13.55616465,0.668289419,8
CP,78.31,7.87,0.3,7.87571584,0.038100993,81.73,2.77,1.86,3.336540124,0.591327612,74.72,5.15,-2.08,5.554178607,-0.383849728,81.86,7.56,4.22,8.658059829,0.509117797,85.33,2.94,4.9,5.714332857,1.030376827,9
CP,76.36,8.17,0.18,8.171982624,0.02202826,81.19,2.77,1.78,3.292612944,0.571154998,57.86,4.93,-0.28,4.937944917,-0.056734182,82.21,6.75,4.37,8.041106889,0.5745505,85.44,2.72,4.98,5.674398647,1.070887017,9
CP,77.12,8.3,0.27,8.304390405,0.032518653,82.08,2.76,1.9,3.350761108,0.602902163,65.41,3.91,0.82,3.995059449,0.206722732,81.8,6.59,4.45,7.951767099,0.593932077,85.45,2.72,5.08,5.762360627,1.079205682,9
CP,77.82,14.67,-0.93,14.69944897,-0.063309962,70.67,14.34,0.45,14.34705893,0.031370458,78.97,14.01,2,14.15203519,0.141797125,71.16,12.62,5.23,13.66079427,0.3928766,72.15,9.85,9.26,13.51924924,0.754534079,8
CP,77.68,15.82,-0.81,15.84072284,-0.05115634,73.72,16.75,1.19,16.79221844,0.070925607,79.05,14.02,2.34,14.21393682,0.165379998,71.54,13.13,5.45,14.21616685,0.39343838,72.38,10.03,9.23,13.63061994,0.743885163,8
CP,77.74,16,-0.78,16.01900122,-0.048711436,74.44,16.96,1.24,17.00526977,0.072983347,79.22,13.96,2.85,14.24795073,0.20138728,71.23,12.76,5.34,13.83232446,0.396348231,72.35,9.99,9.36,13.68976625,0.752851521,8
CP,72.65,9.86,-1.02,9.912618221,-0.103081609,74.11,18.03,0.48,18.03638822,0.026616009,78.5,13.33,1.97,13.47478386,0.146724893,69.4,9.35,5.13,10.66486756,0.501816222,77.19,10.49,3.74,11.13677242,0.342480331,8
CP,74.24,9.42,-0.88,9.461014745,-0.09314792,75.79,18.36,0.68,18.37258828,0.037020116,79.57,13.57,2.15,13.7392649,0.157131618,70.92,9.63,5.5,11.0899459,0.518922426,77.22,10.44,3.77,11.09984234,0.346538864,8
CP,77.09,9.99,-0.54,10.00458395,-0.0540015,76.08,18.33,0.74,18.34493118,0.040349066,78.79,13.68,2.19,13.85418709,0.158740791,71.12,9.98,5.68,11.48315288,0.517417881,77.22,10.55,3.85,11.23053872,0.349912121,8
CP,81.24,10.7,1.81,10.85200903,0.167572548,79.22,4.16,2.26,4.734258126,0.497660951,75.33,12.67,0.78,12.69398677,0.061485149,78.5,3.14,2.95,4.308375564,0.754209594,79.94,4.55,4.49,6.392386096,0.778761093,12
CP,83.49,4.63,1.63,4.908543572,0.338501565,81.14,4.08,2.44,4.75394573,0.5389765,75.01,13.26,0.85,13.28721566,0.064014978,75.92,3.22,3.16,4.511540757,0.775994052,79.58,4.4,4.48,6.279363025,0.794406929,12
CP,83.74,4.66,1.7,4.960403209,0.349804417,83.35,4.21,2.81,5.06164005,0.588550549,75.72,13.63,1.89,13.76041424,0.137786081,75.98,3.49,3.63,5.035573453,0.805058551,80.43,4.6,4.76,6.619486385,0.802490516,12
CP,67.12,5.22,-0.6,5.25436961,-0.114440305,82.25,6.71,1.83,6.955070093,0.266252049,79.34,10.66,3.15,11.11566912,0.28732067,70.27,12.16,2.69,12.4539833,0.217710925,83.19,6.1,4.15,7.377838437,0.597400823,13
CP,73.2,5.21,0,5.21,0,81.38,6.61,1.63,6.808009988,0.241772404,79.64,10.71,3.19,11.17498098,0.289485425,78.36,9.26,5.58,10.81129039,0.542323051,83.83,6.26,4.43,7.668930825,0.615853577,13
CP,75.36,5.15,0.15,5.152184003,0.029117982,82.5,6.97,2.04,7.262403184,0.284730439,79.4,10.83,3.22,11.298553,0.288998339,78.78,9.46,5.67,11.02907521,0.53995301,83.92,6.28,4.52,7.737493134,0.62385524,13
CP,70.48,7.94,-0.87,7.987521518,-0.109136415,82.08,12.94,1.01,12.97935669,0.077894623,78.08,14.83,1.2,14.87847102,0.080741147,83.32,9.24,3.8,9.990875837,0.390171504,83.38,4.85,4.34,6.508310073,0.729959925,10
CP,64.56,7.25,-1.01,7.320013661,-0.13841948,81.96,12.9,1.01,12.93947835,0.078135177,78.78,14.76,1.2,14.80870015,0.081122392,83.34,9.12,3.81,9.883850464,0.395725044,83.16,4.67,4.29,6.341372091,0.743012849,10
CP,73.04,5.15,-0.43,5.167920278,-0.083301926,81.9,12.96,1.02,13.00007692,0.078541801,78.81,14.67,1.17,14.71658248,0.079586143,83.27,9.16,3.9,9.955681795,0.402517747,83.8,4.81,4.25,6.418613557,0.723666544,10
CP,81.47,9.8,0.66,9.822199346,0.067245395,57.36,4.66,10.79,11.75328465,1.163111564,80.73,7.32,5.92,9.414287015,0.680049452,64.55,4.98,7.56,9.052844857,0.988308373,69.88,9.38,8.44,12.61816151,0.732697288,7
CP,80.89,8.99,0.55,9.006808536,0.06110293,60,4,12.19,12.82950116,1.253729002,80.68,7.37,6.03,9.52248917,0.685729511,76.73,5.37,9.65,11.04352299,1.062994217,67.31,9.7,7.79,12.44082393,0.676623943,7
CP,79.44,8.62,0.36,8.627514126,0.041739086,60.11,4.4,12.21,12.97860162,1.224921767,80.65,7.48,6.07,9.633031714,0.681712295,78.2,5.64,10.05,11.52441322,1.059399492,67.19,9.53,7.69,12.24569312,0.678949564,7
CP,77.95,9.53,1.33,9.622359378,0.138663674,70.64,8.16,-0.17,8.161770641,-0.02083032,77.75,14.01,8.94,16.61937724,0.567975237,82.23,9.03,1.26,9.117483205,0.138639737,75.07,12.39,0.45,12.39816922,0.036303655,13
CP,80.58,9.64,1.52,9.759098319,0.156388794,67.77,9.89,-0.61,9.908794074,-0.061600428,77.88,14.25,1.01,14.28574814,0.070758864,81.71,9.21,1.21,9.289144202,0.130630783,76.57,11.34,0.68,11.36036971,0.059893008,13
CP,80.37,9.38,1.37,9.47952003,0.14502997,69.85,10.16,-0.38,10.16710382,-0.037384149,78.62,14.9,1.24,14.95150829,0.083030145,81.71,9.37,1.23,9.450386235,0.130523705,76.4,11.09,0.79,11.11810236,0.071115219,13
CP,74.23,2.7,1.06,2.900620623,0.374104416,81.87,2.85,1.82,3.381552898,0.568316878,84.11,6.79,3.46,7.620741434,0.471276569,76.72,5.58,7.41,9.276017464,0.925354729,79.13,4.98,8.32,9.696535464,1.031438022,9
CP,81.94,3.31,3.04,4.494185132,0.742904075,84.47,2.9,2.14,3.604108766,0.63573212,83.88,6.94,3.46,7.754688904,0.462494207,77,5.56,7.59,9.408597132,0.938561748,78.67,5.01,8.26,9.660626274,1.02558368,9
CP,84.08,3.64,3.54,5.077519079,0.771471487,85.95,3.13,2.44,3.96868996,0.662148141,83.7,6.96,3.48,7.781516562,0.463647609,77.25,5.4,7.65,9.363893421,0.956133375,79.71,4.82,8.43,9.710679688,1.051394752,9
CP,79.91,10.53,1.27,10.60630944,0.120028042,81.63,6.28,1.45,6.445223037,0.226915141,80.49,9.01,2.73,9.414510078,0.294203761,81.04,2.27,6.1,6.508678821,1.214543184,81.17,1.45,4.83,5.042955483,1.279149599,10
CP,81.15,11.14,1.59,11.2528974,0.141771379,76.42,5.5,1.45,5.687925808,0.257771142,81.43,9.06,2.94,9.525082677,0.313782596,81.48,2.04,6.18,6.507995083,1.251961216,78.96,1.53,4.2,4.47,1.221451929,10
CP,81.23,11.14,1.64,11.26007105,0.146167312,76.32,5.42,1.37,5.590465097,0.247581694,81.35,8.97,2.9,9.427136363,0.312693439,81.84,1.97,6.18,6.486393451,1.262209322,83.67,2.78,6.98,7.513241644,1.191772895,10
CP,74.53,8.09,0.45,8.102505785,0.055566966,69.12,8.4,1.12,8.474337732,0.132551532,83.02,8.54,2.43,8.87899206,0.277216739,73.15,9.92,5.56,11.37189518,0.510856601,72.14,9.9,6.89,12.06159608,0.608009133,10
CP,74.43,8.46,0.66,8.485705628,0.07785649,71.39,8.87,1.54,9.002694041,0.171905331,83.12,8.59,2.46,8.935306374,0.278914571,73.78,10.09,5.81,11.64320403,0.522448542,71.29,9.77,6.4,11.67959331,0.579928687,10
CP,74.88,8.61,0.79,8.646166781,0.091497583,72.23,9.24,2.01,9.456093274,0.214195473,83.53,8.52,2.45,8.865263673,0.280004027,73.99,10.06,5.84,11.63224828,0.525970491,71.39,9.58,6.41,11.52668643,0.589686914,10
CP,76.5,17.45,-0.12,17.4504126,-0.006876682,79.57,5.52,3.1,6.330908308,0.511701111,81.16,12.26,1.97,12.4172662,0.159323244,77.84,4.67,8.78,9.944712163,1.081962861,71.66,13.21,12.98,18.51984071,0.776616411,9
CP,76.99,17.85,-0.03,17.85002521,-0.001680671,79.83,5.42,3.08,6.234003529,0.516758534,81.01,12.12,1.88,12.26494191,0.1538891,78.78,4.74,9.14,10.2959798,1.092380026,71.57,13.13,12.97,18.45583377,0.779267972,9
