substrate,Group,Concentration,one_group,treat.No.,Cultivar,samples,Stem_volume,Stem_nodes,Length,Bush,Flowering_day,SPAD,Total_nitrogen,PO,KO,CaO,MgO,Fresh_weight,Dry_weight,Weight_diff,Vase_life,Petals,Petal_size,L,a,b
soil,SSV,0.1,PSA,2,CP,4,3.95,6,60,4,65,86.6,1.14,0.26,2.46,0.22,0.4,2.56,0.43,2.13,10,14,48.66,76.8,13.19,1.58
soil,SSV,0.1,PSA,2,CP,5,4.43,8,57.5,4,59,103.9,1.11,0.26,2.46,0.22,0.4,3.08,0.83,2.25,8,13,50,76.98,13.82,2.99
soil,SSV,0.1,PSA,2,CP,6,4.64,8,54,5,65,99.9,1.14,0.26,2.46,0.22,0.4,2.61,0.65,1.96,7,10,56.24,69.06,14.83,1.75
soil,SSV,0.3,PSA,4,CP,1,4.65,8,60,4,56,99.9,1.08,0.3,2.57,0.21,0.46,2.64,0.74,1.9,3,10,50.99,74.32,12.07,4.38
soil,SSV,0.3,PSA,4,CP,2,5.24,7,61.5,5,56,104.6,1.05,0.32,2.52,0.27,0.53,2.42,0.72,1.7,7,13,50.88,74.17,15.43,4.12
soil,SSV,0.3,PSA,4,CP,3,5.61,9,65.5,4,59,103.6,1.09,0.29,2.57,0.21,0.46,2.69,0.54,2.15,5,11,46.65,79.45,12.05,2.88
soil,SSV,0.3,PSA,4,CP,4,4.76,8,58,5,59,101.1,1.05,0.29,2.55,0.21,0.46,3.17,0.8,2.37,7,12,47.77,80.44,13.03,2.97
soil,SSV,0.3,PSA,4,CP,5,4.71,8,60.5,4,62,105.2,1.08,0.29,2.57,0.21,0.46,2.46,0.92,1.54,7,13,53.12,75.81,13.83,3.59
soil,SSV,0.3,PSA,4,CP,6,4.96,8,55,5,59,104,1.05,0.29,2.55,0.21,0.46,2.6,0.7,1.9,8,12,54.04,80.7,9.1,4.05
soil,SSV,0.5,PSA,4,CP,1,3.25,8,52.5,3,61,79.9,0.79,1.41,2.24,0.25,0.46,2.3,0.68,1.62,8,12,44.78,75.42,13.12,3.17
soil,SSV,0.5,PSA,4,CP,2,3.52,8,60,3,64,76.4,0.77,1.45,2.28,0.3,0.54,2.09,0.79,1.3,5,13,44.99,74.41,14.21,1.74
soil,SSV,0.5,PSA,4,CP,3,3.49,8,57,3,59,76.7,0.77,1.41,2.21,0.25,0.46,3.24,0.61,2.63,10,14,53.11,78.32,9.28,3.02
soil,SSV,0.5,PSA,4,CP,4,4.21,8,59.5,5,59,86.5,0.79,1.41,2.24,0.25,0.46,2.74,1.05,1.69,5,12,54.09,74.14,13.31,2.11
soil,SSV,0.5,PSA,4,CP,5,4.07,8,59,5,65,80.4,0.79,1.41,2.24,0.25,0.46,3.09,0.83,2.26,3,10,54.77,75.13,16.84,1.77
soil,SSV,0.5,PSA,4,CP,6,4.16,8,60,3,59,86.2,0.79,1.41,2.24,0.25,0.46,3.84,0.72,3.12,7,13,55.21,77.88,13.22,3.66
soil,SSV,0,PSA,1,BP,1,4.34,6,43,5,56,98.6,1.16,0.39,2.62,0.31,0.59,2.26,0.52,1.74,8,11,43.21,88.35,1.91,1.74
soil,SSV,0,PSA,1,BP,2,4.99,6,51,6,73,96,1.18,0.35,2.66,0.38,0.68,2.87,0.47,2.4,9,12,40.69,31.41,37.29,-31.48
soil,SSV,0,PSA,1,BP,3,4.73,5,56,5,62,89.1,1.18,0.37,2.64,0.31,0.58,2.01,0.56,1.45,9,15,42.77,33.24,30.65,-25.69
soil,SSV,0,PSA,1,BP,4,3.84,5,51.5,4,59,110.6,1.18,0.35,2.66,0.38,0.68,2.51,0.61,1.9,9,14,45.89,67.86,13.02,-11.9
soil,SSV,0,PSA,1,BP,5,4.75,6,69,4,64,102.6,1.16,0.35,2.62,0.37,0.67,2.23,0.47,1.76,7,12,42.89,60.04,12.93,-12.03
soil,SSV,0,PSA,1,BP,6,5.3,6,54.5,5,65,116.6,1.18,0.35,2.64,0.38,0.68,2.52,0.78,1.74,7,10,40.97,72.86,10.05,-8.32
soil,SSV,0.1,PSA,2,BP,1,3.7,6,54.6,4,65,126.2,0.83,0.28,2.55,0.24,0.46,1.61,0.37,1.24,3,11,40.66,31.45,23.35,-19.22
soil,SSV,0.1,PSA,2,BP,2,3.69,6,48.5,2,65,106.7,0.86,0.26,2.57,0.29,0.52,3.18,0.51,2.67,12,16,40.98,65.33,10.24,-8.3
soil,SSV,0.1,PSA,2,BP,3,2.89,6,57,3,61,120.4,0.85,0.27,2.54,0.25,0.47,1.98,0.57,1.41,8,10,42.02,56.78,19.1,-16.26
soil,SSV,0.1,PSA,2,BP,4,4.02,6,54.5,4,75,95.3,0.86,0.26,2.57,0.29,0.52,1.86,0.83,1.03,8,13,43.06,53,13.21,-11.54
soil,SSV,0.1,PSA,2,BP,5,4.24,7,47.5,4,59,91.5,0.83,0.28,2.55,0.29,0.52,2.68,0.66,2.02,8,15,41.91,48.39,12.69,-10.82
soil,SSV,0.1,PSA,2,BP,6,3.79,6,48,3,65,110.9,0.86,0.26,2.57,0.29,0.52,3,0.61,2.39,10,14,42.01,51.16,21.7,-18.2
soil,SSV,0.3,PSA,3,BP,1,4.4,6,74.5,5,62,64.8,0.95,0.33,2.2,0.32,0.49,2.13,0.58,1.55,10,15,44.68,65.96,8.58,-7.96
soil,SSV,0.3,PSA,3,BP,2,3.95,6,53.5,5,65,82.6,0.98,0.35,2.22,0.39,0.55,2.38,0.44,1.94,7,12,46.59,67.69,13.73,-12.21
soil,SSV,0.3,PSA,3,BP,4,5.45,6,51,3,60,118.9,0.98,0.35,2.22,0.39,0.55,2.48,0.62,1.86,8,10,46.55,75.84,4.65,-4.59
soil,SSV,0.3,PSA,3,BP,5,4.7,6,56.5,3,59,117.7,0.95,0.33,2.2,0.39,0.55,2.81,0.41,2.4,7,13,48.44,66.32,7.56,-5.32
soil,SSV,0.3,PSA,3,BP,6,4.06,6,51,4,68,135.8,0.97,0.35,2.22,0.39,0.55,2.73,0.52,2.21,8,10,42.46,66.32,7.56,-5.32
soil,SSV,0.5,PSA,4,BP,1,4.2,6,53.5,5,64,124.3,0.75,0.5,2.27,0.3,0.48,3.08,0.84,2.24,12,14,40.12,35.29,21.44,-18.68
soil,SSV,0.5,PSA,4,BP,2,4.79,6,57,4,59,122.3,0.77,0.52,2.25,0.37,0.54,1.9,0.78,1.12,10,13,44.32,46.99,28.54,-25.89
soil,SSV,0.5,PSA,4,BP,3,4.42,6,59,4,56,136.2,0.77,0.49,2.28,0.31,0.49,2.68,0.43,2.25,7,12,50.01,29.75,33.93,-27.84
soil,SSV,0.5,PSA,4,BP,4,3.18,5,58,3,62,97.4,0.77,0.52,2.25,0.37,0.54,2.35,0.74,1.61,10,12,46.34,68.3,11.07,-9.41
soil,SSV,0.5,PSA,4,BP,5,4.69,7,57.5,5,68,99.8,0.75,0.5,2.27,0.37,0.54,1.56,0.85,0.71,7,10,41.61,51.18,17.84,-15.72
