condition,substrate,group,treatment_method ,treatment,concat,concentration,cultivar,samples,stem_volume,stem_nodes,length,bush,flowering_day,SPAD,T-N,P2O5,K2O,CaO,MgO,fresh_weight,dry_weight,A-B,vase_life_days,petals,petal_size,L,a,b
plant,Nutrient solution,NSC2,NSC2_0.0,NSC2_0.0_KW,NSC2_KW,0,KW,1,4.14,6,43.5,5,66,121.1,1.51,0.77,2.36,0.21,0.51,3.04,1.45,1.59,15,10,45.12,92.71,-0.99,3.32
plant,Nutrient solution,NSC2,NSC2_0.0,NSC2_0.0_KW,NSC2_KW,0,KW,2,3.72,8,54,3,65,94.4,1.53,0.79,2.35,0.27,0.61,3.2,1.68,1.52,6,17,53.88,88.54,-0.63,2.86
plant,Nutrient solution,NSC2,NSC2_0.0,NSC2_0.0_KW,NSC2_KW,0,KW,3,4.45,7,43,4,66,126.2,1.49,0.77,2.35,0.21,0.51,2.84,1.68,1.16,6,15,49.14,82.91,-0.63,1.61
plant,Nutrient solution,NSC2,NSC2_0.0,NSC2_0.0_KW,NSC2_KW,0,KW,4,5.05,7,55,3,65,111.8,1.47,0.78,2.35,0.21,0.51,2.04,1.4,0.64,6,15,48.36,88.38,-0.49,1.67
plant,Nutrient solution,NSC2,NSC2_0.0,NSC2_0.0_KW,NSC2_KW,0,KW,5,4.67,7,51,3,65,127.1,1.54,0.74,2.33,0.27,0.56,3.9,3.05,0.85,15,10,49.43,90.76,-0.54,2.66
plant,Nutrient solution,NSC2,NSC2_0.0,NSC2_0.0_KW,NSC2_KW,0,KW,6,5.1,7,49.5,4,65,103.7,1.47,0.78,2.35,0.21,0.51,4.11,2.58,1.53,15,14,50.74,86.15,-0.68,1.73
plant,Nutrient solution,NSC2,NSC2_0.3,NSC2_0.3_KW,NSC2_KW,0.3,KW,1,3.86,8,50,3,56,147.6,1.97,0.53,2.12,0.19,0.46,4.81,3.14,1.67,19,14,45.11,88.27,-0.47,2.5
plant,Nutrient solution,NSC2,NSC2_0.3,NSC2_0.3_KW,NSC2_KW,0.3,KW,2,4.59,8,60,4,59,125.7,1.96,0.58,2.15,0.23,0.55,3.02,2.46,0.56,19,12,39.04,92.54,-0.95,3.88
plant,Nutrient solution,NSC2,NSC2_0.3,NSC2_0.3_KW,NSC2_KW,0.3,KW,3,4.45,8,48.5,3,59,135.5,1.97,0.53,2.12,0.17,0.45,3.5,2.12,1.38,16,10,45.61,91.77,-0.49,2.97
plant,Nutrient solution,NSC2,NSC2_0.3,NSC2_0.3_KW,NSC2_KW,0.3,KW,4,4.08,8,54,4,62,122.3,1.97,0.53,2.12,0.17,0.45,4.84,2.95,1.89,19,15,52.05,81.21,-0.42,1.81
plant,Nutrient solution,NSC2,NSC2_0.3,NSC2_0.3_KW,NSC2_KW,0.3,KW,5,3.93,7,46,3,70,144.1,1.97,0.53,2.12,0.19,0.46,3.47,2.16,1.31,16,12,45.32,89.09,-0.88,3.15
plant,Nutrient solution,NSC2,NSC2_0.3,NSC2_0.3_KW,NSC2_KW,0.3,KW,6,4.82,7,43,3,72,143.2,1.97,0.53,2.12,0.17,0.45,4.36,2.64,1.72,19,12,47.55,88.78,-0.29,2.23
plant,Nutrient solution,NSC2,NSC2_0.5,NSC2_0.5_KW,NSC2_KW,0.5,KW,1,4.51,8,51.5,4,59,132.5,1.86,0.54,1.98,0.19,0.46,2.15,1.42,0.73,6,11,43.61,84.82,-0.84,2.66
plant,Nutrient solution,NSC2,NSC2_0.5,NSC2_0.5_KW,NSC2_KW,0.5,KW,2,3.35,7,52.5,3,65,128.8,1.87,0.56,1.92,0.24,0.55,4.68,2.1,2.58,16,13,52.06,84.59,-0.42,1.43
plant,Nutrient solution,NSC2,NSC2_0.5,NSC2_0.5_KW,NSC2_KW,0.5,KW,3,3.23,7,50.5,3,62,152.4,1.86,0.54,1.97,0.19,0.46,3.13,1.64,1.49,13,10,46.33,89.7,-0.6,2.64
plant,Nutrient solution,NSC2,NSC2_0.5,NSC2_0.5_KW,NSC2_KW,0.5,KW,4,4.57,7,57.5,3,62,90.5,1.86,0.54,1.97,0.19,0.46,3.99,2.02,1.97,13,13,48.91,87.9,-0.82,4.09
plant,Nutrient solution,NSC2,NSC2_0.5,NSC2_0.5_KW,NSC2_KW,0.5,KW,5,4.32,8,49.5,3,65,149.9,1.86,0.54,1.97,0.19,0.46,2.76,0.94,1.82,9,12,46.03,83.04,-0.82,1.8
plant,Nutrient solution,NSC2,NSC2_0.5,NSC2_0.5_KW,NSC2_KW,0.5,KW,6,3.72,8,54.5,4,67,147.4,1.86,0.54,1.97,0.19,0.46,3.53,2.07,1.46,13,10,51.77,83.23,-0.39,1.52
plant,Nutrient solution,NSC2,NSC2_1.0,NSC2_1.0_KW,NSC2_KW,1,KW,1,3.52,8,55,4,65,143.9,1.93,0.58,2.14,0.17,0.49,3.48,1.33,2.15,14,10,51.67,87.77,-0.66,3.04
plant,Nutrient solution,NSC2,NSC2_1.0,NSC2_1.0_KW,NSC2_KW,1,KW,2,4.75,8,43,3,62,123,1.98,0.57,2.16,0.21,0.57,3.09,0.89,2.2,14,10,50.06,88.62,-0.4,2.39
plant,Nutrient solution,NSC2,NSC2_1.0,NSC2_1.0_KW,NSC2_KW,1,KW,3,4.01,8,49.5,4,75,134.2,1.93,0.57,2.14,0.17,0.48,1.76,0.92,0.84,6,12,48.4,91.02,-0.61,2.61
plant,Nutrient solution,NSC2,NSC2_1.0,NSC2_1.0_KW,NSC2_KW,1,KW,4,4.49,8,50,3,74,146.4,1.93,0.57,2.14,0.17,0.48,3.4,3.03,0.37,19,10,46.9,90.85,-0.88,3.63
plant,Nutrient solution,NSC2,NSC2_1.0,NSC2_1.0_KW,NSC2_KW,1,KW,5,3.88,7,47,3,65,133.7,1.93,0.57,2.14,0.17,0.49,3.48,2.44,1.04,19,11,43.07,85.5,-0.72,2.67
plant,Nutrient solution,NSC2,NSC2_1.0,NSC2_1.0_KW,NSC2_KW,1,KW,6,4.14,8,48,3,66,141.4,1.93,0.57,2.14,0.17,0.48,3.8,2.92,0.88,19,11,47.68,89.63,-1.26,4.1
