Group,Concentration,Cultivation_method,Cultivar,Stem_volume,Stem_nodes,Length,Bush,Flowering_day,SPAD,Total nitrogen,PO,KO,CaO,MgO,Fresh_weight,Dry_weight,Weight_diff,Vase_life,Petals,Petal_size,L_first,a_first,b_first,L_second,a_second,b_second,L_third,a_third,b_third,L_fourth,a_fourth,b_fourth,L_fifth,a_fifth,b_fifth
SSV,0.5,Soil_culture,AG,2.93,8,53,3,59,51.4,0.89,0.36,2.88,0.16,0.42,2.11,0.46,1.65,8,10,47.88,83.88,-10.34,22.24,82.9,-14.49,27.41,77.38,-13.44,24.08,82.45,-10.95,18.79,81.95,-13.89,25.61
SSV,0.5,Soil_culture,AG,3.56,8,46,3,71,84.2,0.86,0.34,2.78,0.17,0.42,1.83,0.57,1.26,10,10,43.68,79.17,-15.1,29.97,75.03,-14.88,28.42,84.07,-11.99,21.16,76.73,-12.64,22.68,72.24,-11.92,22.09
SSV,0.5,Soil_culture,AG,4.54,9,57.5,4,68,100.3,0.87,0.33,2.83,0.17,0.41,1.66,0.42,1.24,10,13,49.66,81.18,-13.53,27.59,80.34,-12.91,25.09,80.56,-11.53,21.74,80.3,-14.53,25.69,78.95,-11.28,22.39
SSV,0,Soil_culture,CP,4.43,8,50.5,4,56,99.5,1.63,0.28,2.89,0.22,0.47,3.16,0.54,2.62,5,10,50.01,77.87,13.87,1.62,77.83,15.73,3.18,69.41,7.01,3.52,72.66,6.34,3.7,70.27,9.02,8.69
SSV,0,Soil_culture,CP,4.96,8,47,4,59,89.6,1.68,0.25,2.87,0.27,0.56,3.09,0.84,2.25,3,9,52.66,73.69,20.56,2.06,74.34,16.75,1.44,75.14,15.82,1.96,73.84,13.78,0.55,70.81,11.14,3.73
SSV,0,Soil_culture,CP,4.28,8,54.5,5,59,82.8,1.62,0.27,2.89,0.22,0.47,3.01,0.61,2.4,7,11,53.09,72.16,15.99,2.15,76.83,16.47,1.41,78.97,12.64,2.23,76.94,6.42,3.07,71.55,8.49,2.87
SSV,0,Soil_culture,CP,4.57,7,49.5,5,59,82.6,1.62,0.27,2.89,0.22,0.47,3.39,0.43,2.96,7,11,54.12,82.95,11.21,3.16,78.27,15.31,3.79,74.77,3.16,1.73,64.79,5.39,2.36,74.48,9.91,6.42
SSV,0,Soil_culture,CP,4.75,7,60.5,3,61,93.1,1.62,0.27,2.88,0.22,0.47,4.41,0.5,3.91,10,12,45.99,79.31,10.93,2.28,78.32,16.68,2.64,80.12,9.77,2.43,79.37,7.48,1.63,77.67,7.41,1.72
SSV,0,Soil_culture,CP,3.74,8,65.5,3,59,72.6,1.61,0.27,2.89,0.22,0.47,2.44,0.72,1.72,8,12,50.36,79,13.42,2.48,74.69,18.63,2.47,71.76,11.64,1.03,82.7,9.29,2.54,78.14,9.49,3.31
SSV,0.1,Soil_culture,CP,4.17,8,62.8,4,61,79.4,1.11,0.26,2.46,0.22,0.4,3.34,0.47,2.87,12,16,48.01,77.32,13.78,2.15,81.65,11.93,2.65,73.45,13.69,1.95,79.82,9.58,1.29,79.88,9.25,2.61
SSV,0.1,Soil_culture,CP,4.05,7,55.5,3,59,57,1.13,0.27,2.47,0.27,0.48,3.49,0.57,2.92,8,11,52.46,69.72,7.94,3.78,82.48,9.19,4.31,79.7,12.7,3.12,68.42,6.32,5.75,78.01,3.88,5.37
SSV,0.1,Soil_culture,CP,3.82,7,58,4,64,62.7,1.13,0.27,2.46,0.22,0.4,3.41,0.67,2.74,8,12,52.33,64.91,8.16,0.52,78.13,7.86,1.65,79.12,8.57,1.17,80.86,8.09,1.16,82.13,4.77,4.1
SSV,0.1,Soil_culture,CP,3.95,6,60,4,65,86.6,1.14,0.26,2.46,0.22,0.4,2.56,0.43,2.13,10,14,48.66,75.4,10.48,1.16,80.8,11.64,1.31,77.87,10.35,2.26,71.01,6.72,1.59,80.74,3.93,5.73
SSV,0.1,Soil_culture,CP,4.43,8,57.5,4,59,103.9,1.11,0.26,2.46,0.22,0.4,3.08,0.83,2.25,8,13,50,76.83,13.39,2.71,78.65,12.36,1.63,71.84,12.43,1.97,77.26,8.92,2.46,69.48,5.29,5.45
SSV,0.1,Soil_culture,CP,4.64,8,54,5,65,99.9,1.14,0.26,2.46,0.22,0.4,2.61,0.65,1.96,7,10,56.24,70.89,15.47,2.08,73.39,11.18,2.21,76.52,9.58,2.02,79.55,7.87,3.01,72.79,10.08,3.24
SSV,0.3,Soil_culture,CP,4.65,8,60,4,56,99.9,1.08,0.3,2.57,0.21,0.46,2.64,0.74,1.9,3,10,50.99,75.6,11.73,4.43,75.83,12.67,3.03,76.02,14.33,2.36,75.54,9.23,1.95,79.18,11.43,4.42
SSV,0.3,Soil_culture,CP,5.24,7,61.5,5,56,104.6,1.05,0.32,2.52,0.27,0.53,2.42,0.72,1.7,7,13,50.88,79.14,13.23,3.82,84.1,6.95,2.76,77.28,8,1.93,82.62,3.63,4.19,79.58,9.61,4.19
SSV,0.3,Soil_culture,CP,5.61,9,65.5,4,59,103.6,1.09,0.29,2.57,0.21,0.46,2.69,0.54,2.15,5,11,46.65,81.88,10.2,3.12,75.23,6.8,2.07,78.37,9.52,3.65,79.26,11.64,7.33,77.84,8.96,9.92
SSV,0.3,Soil_culture,CP,4.76,8,58,5,59,101.1,1.05,0.29,2.55,0.21,0.46,3.17,0.8,2.37,7,12,47.77,80.05,12.7,3.06,77.23,10.28,1.95,73.21,7.75,2.36,79.54,7.13,3.05,78.68,12.35,5.54
SSV,0.3,Soil_culture,CP,4.71,8,60.5,4,62,105.2,1.08,0.29,2.57,0.21,0.46,2.46,0.92,1.54,7,13,53.12,76.58,12.02,3.65,79.98,13.1,3.34,75.63,11.9,3.23,73.19,8.11,1.5,74.64,9.77,3.27
SSV,0.3,Soil_culture,CP,4.96,8,55,5,59,104,1.05,0.29,2.55,0.21,0.46,2.6,0.7,1.9,8,12,54.04,80.5,8.76,3.99,70.91,8.8,3.61,81.49,4.73,6.47,82.66,2.14,4.89,77.34,7.29,6.39
SSV,0.5,Soil_culture,CP,3.25,8,52.5,3,61,79.9,0.79,1.41,2.24,0.25,0.46,2.3,0.68,1.62,8,12,44.78,72.8,11.19,2.8,75.19,8.45,2.91,78.85,4.87,4.29,79.57,3.79,3.02,79.41,6.53,5.18
SSV,0.5,Soil_culture,CP,3.52,8,60,3,64,76.4,0.77,1.45,2.28,0.3,0.54,2.09,0.79,1.3,5,13,44.99,72.26,13.28,2.22,77.61,10.06,1.78,77.65,7.87,3.53,75.43,15.29,3.9,69.3,3.51,9.55
SSV,0.5,Soil_culture,CP,3.49,8,57,3,59,76.7,0.77,1.41,2.21,0.25,0.46,3.24,0.61,2.63,10,14,53.11,59.22,8.83,3.71,78.37,10.6,3.16,70.42,14.38,3.09,78.76,3.33,3.18,77.94,4.97,7.19
SSV,0.5,Soil_culture,CP,4.21,8,59.5,5,59,86.5,0.79,1.41,2.24,0.25,0.46,2.74,1.05,1.69,5,12,54.09,71.2,10.44,1.83,77.68,14.45,3.32,75.86,15.79,6.07,78.52,11.28,9.84,79.78,5,8.67
SSV,0.5,Soil_culture,CP,4.07,8,59,5,65,80.4,0.79,1.41,2.24,0.25,0.46,3.09,0.83,2.26,3,10,54.77,75.7,16.02,1.68,70.61,19.22,0.86,71.88,16.25,1.6,72.73,14.64,1.6,81.45,11.87,6.6
SSV,0.5,Soil_culture,CP,4.16,8,60,3,59,86.2,0.79,1.41,2.24,0.25,0.46,3.84,0.72,3.12,7,13,55.21,77.45,13.76,3.35,74.82,11.45,2.52,79.84,8.32,1.49,83.18,6.4,3.87,69.46,19.58,6.41
SSV,0,Soil_culture,BP,4.34,6,43,5,56,98.6,1.16,0.39,2.62,0.31,0.59,2.26,0.52,1.74,8,11,43.21,84.87,4.65,-0.55,80.6,7,-4.05,68.53,5.24,-2.46,80.66,2.37,-1.53,65.89,10.94,-9.03
SSV,0,Soil_culture,BP,4.99,6,51,6,73,96,1.18,0.35,2.66,0.38,0.68,2.87,0.47,2.4,9,12,40.69,29.16,40.92,-33.97,40.29,19.85,-15.79,26.18,38.45,-31.97,30.48,32.91,-26.91,31.36,33.25,-28.08
SSV,0,Soil_culture,BP,4.73,5,56,5,62,89.1,1.18,0.37,2.64,0.31,0.58,2.01,0.56,1.45,9,15,42.77,34.04,31,-26.03,59.7,18.61,-16.58,23.15,38.39,-29.65,42.6,26.54,-22.5,55.78,18.32,-15.74
SSV,0,Soil_culture,BP,3.84,5,51.5,4,59,110.6,1.18,0.35,2.66,0.38,0.68,2.51,0.61,1.9,9,14,45.89,65.23,14.09,-12.84,60.19,16.11,-12.68,55.39,31.09,-26.6,60.57,13.68,-12.81,59.68,11.49,-10.67
SSV,0,Soil_culture,BP,4.75,6,69,4,64,102.6,1.16,0.35,2.62,0.37,0.67,2.23,0.47,1.76,7,12,42.89,51.18,19.33,-17.1,82.74,4.6,0,42.76,25.03,-22.02,54.25,15.09,-13.96,70.78,4.77,-2.67
SSV,0,Soil_culture,BP,5.3,6,54.5,5,65,116.6,1.18,0.35,2.64,0.38,0.68,2.52,0.78,1.74,7,10,40.97,72.06,10.05,-8.38,71.9,11.69,-9.46,76.41,9.41,-6.57,51.9,17.4,-16.33,76.51,3.54,-0.3
SSV,0.1,Soil_culture,BP,3.7,6,54.6,4,65,126.2,0.83,0.28,2.55,0.24,0.46,1.61,0.37,1.24,3,11,40.66,31.45,21.76,-17.98,56.38,19.61,-17.3,34.89,30.59,-26.94,78.28,4.67,-3.02,32.08,26.9,-19.83
SSV,0.1,Soil_culture,BP,3.69,6,48.5,2,65,106.7,0.86,0.26,2.57,0.29,0.52,3.18,0.51,2.67,12,16,40.98,69.99,7.43,-5.91,28.92,37.74,-30.5,84.68,0.84,0.64,88.23,-0.48,3.22,47.8,20.33,-17.92
SSV,0.1,Soil_culture,BP,2.89,6,57,3,61,120.4,0.85,0.27,2.54,0.25,0.47,1.98,0.57,1.41,8,10,42.02,63.61,14.4,-12.21,82.55,3.81,-1.06,56.14,20.53,-16.15,83.58,0.78,0.28,87.06,0.61,1.66
SSV,0.1,Soil_culture,BP,4.02,6,54.5,4,75,95.3,0.86,0.26,2.57,0.29,0.52,1.86,0.83,1.03,8,13,43.06,56.27,9.41,-8,73.48,5.09,-1.94,60.37,15.12,-11.87,83.84,0.15,2.41,62.71,11.17,-9.18
SSV,0.1,Soil_culture,BP,4.24,7,47.5,4,59,91.5,0.83,0.28,2.55,0.29,0.52,2.68,0.66,2.02,8,15,41.91,57.2,11.81,-10.2,71.2,8.21,-5.8,77.32,6.34,-2.83,81.93,0.24,2.9,76.94,5.23,-2.36
SSV,0.1,Soil_culture,BP,3.79,6,48,3,65,110.9,0.86,0.26,2.57,0.29,0.52,3,0.61,2.39,10,14,42.01,47.79,17.04,-13.72,73.87,11.61,-9.35,57.1,18.79,-15.64,74.17,5.84,-4.2,58.08,13.42,-10.22
SSV,0.3,Soil_culture,BP,4.4,6,74.5,5,62,64.8,0.95,0.33,2.2,0.32,0.49,2.13,0.58,1.55,10,15,44.68,59.99,3.17,-1.05,52.74,8.64,-5.73,61.19,12.61,-10.71,39.33,15.33,-13.25,85.69,1.77,0.75
SSV,0.3,Soil_culture,BP,3.95,6,53.5,5,65,82.6,0.98,0.35,2.22,0.39,0.55,2.38,0.44,1.94,7,12,46.59,73.72,8.44,-6.77,79.23,6.49,-4.41,38.5,29.98,-26.26,74.01,6.04,-4.37,47.68,13.76,-3.4
SSV,0.3,Soil_culture,BP,5.45,6,51,3,60,118.9,0.98,0.35,2.22,0.39,0.55,2.48,0.62,1.86,8,10,46.55,81.01,1.56,0.86,77.88,6.64,-3.87,64.24,11.77,-8.46,81.29,0.9,0.86,80.91,1.63,1.16
SSV,0.3,Soil_culture,BP,4.7,6,56.5,3,59,117.7,0.95,0.33,2.2,0.39,0.55,2.81,0.41,2.4,7,13,48.44,75.94,4.33,-4.33,74,9.92,-6.14,74.24,4.52,-1.96,66.06,11.28,-9.08,60.66,7.66,-4.76
SSV,0.3,Soil_culture,BP,4.06,6,51,4,68,135.8,0.97,0.35,2.22,0.39,0.55,2.73,0.52,2.21,8,10,42.46,68.28,7.04,-4.8,52.07,13.24,-10.85,74.11,3.31,-1.11,85.76,0.06,2.33,68.5,2.83,-0.03
SSV,0.5,Soil_culture,BP,4.2,6,53.5,5,64,124.3,0.75,0.5,2.27,0.3,0.48,3.08,0.84,2.24,12,14,40.12,49.11,15.17,-13.59,52.87,19.89,-16.96,74.9,5.37,-3.65,65.84,10.2,-10.23,68.62,3.58,-1.91
SSV,0.5,Soil_culture,BP,4.79,6,57,4,59,122.3,0.77,0.52,2.25,0.37,0.54,1.9,0.78,1.12,10,13,44.32,48.82,26.94,-24.73,52.87,19.89,-16.96,30.77,33.52,-27.82,71.26,11.38,-10.14,61.78,16.39,-11.94
SSV,0.5,Soil_culture,BP,4.42,6,59,4,56,136.2,0.77,0.49,2.28,0.31,0.49,2.68,0.43,2.25,7,12,50.01,37.62,29.58,-25.14,39.98,31.32,-26.7,31.62,28.52,-24.48,46.53,24.41,-20.75,32.03,28.86,-20.5
SSV,0.5,Soil_culture,BP,3.18,5,58,3,62,97.4,0.77,0.52,2.25,0.37,0.54,2.35,0.74,1.61,10,12,46.34,69.26,7.48,-6.16,54.17,20.45,-18.78,49.29,17.21,-14.38,63.83,7.43,-3.37,75.75,1.46,0.75
SSV,0.5,Soil_culture,BP,4.69,7,57.5,5,68,99.8,0.75,0.5,2.27,0.37,0.54,1.56,0.85,0.71,7,10,41.61,59.99,12.07,-9.52,48.49,22.4,-17.55,78.28,1.75,2.53,57.04,13.99,-4.88,76.77,3.72,4.3
SSV,0.5,Soil_culture,BP,4.81,6,57.5,4,65,94.1,0.77,0.52,2.25,0.37,0.54,1.39,0.74,0.65,7,11,42.69,52.26,20.38,-17.51,81.48,5.8,-2.8,75.51,5.7,-2.45,43.64,27.2,-25.37,80.58,3.03,5.58
SSV,0,Soil_culture,KW,4.08,8,66.5,3,64,99.8,1.34,0.35,2.36,0.24,0.47,3.71,0.61,3.1,7,11,42.98,87.02,-1.86,5.9,87.54,-0.84,4.88,89.34,-2.34,6.95,88.12,-0.49,3.07,86.65,-2.26,9.9
SSV,0,Soil_culture,KW,4.92,7,63.5,3,65,74.5,1.36,0.38,2.32,0.31,0.57,3.9,0.68,3.22,7,13,44.62,92.18,-0.8,3.76,90.33,-0.4,4.68,83.76,-0.84,4.07,89.63,-0.29,3.52,85.89,-0.24,11.12
SSV,0,Soil_culture,KW,3.863,7,56.7,3,65,90.8,1.33,0.37,2.35,0.24,0.47,3.36,0.63,2.73,7,11,42.36,89.16,-0.52,2.49,84.8,-0.29,3.5,86.18,-0.34,4.23,81.87,-0.36,2.12,91.1,-0.34,4.97
SSV,0,Soil_culture,KW,4.03,7,54.5,2,65,117.7,1.31,0.37,2.38,0.24,0.47,3.64,0.47,3.17,7,14,44.06,86.28,-1.81,6.34,88.8,-0.03,2.76,87.17,-0.94,4.22,84.51,-1.21,4.03,91.09,-1.14,9.18
SSV,0,Soil_culture,KW,4.63,7,63.5,4,63,134,1.33,0.37,2.34,0.24,0.47,4.54,0.43,4.11,7,11,40.88,91.25,-0.63,4.11,88.6,-0.36,4.47,84.62,-0.1,3.06,79.48,-0.28,1.95,85.22,0.21,6.63
SSV,0,Soil_culture,KW,4.89,7,61,4,60,125.1,1.31,0.37,2.38,0.24,0.47,2.94,0.85,2.09,10,15,41.22,91.58,-0.66,3.18,90.23,-0.16,3.98,87.67,-0.73,3.86,93.04,-0.18,3.72,90.35,0.32,2.47
SSV,0.1,Soil_culture,KW,5.14,7,66.5,5,65,135,0.96,0.31,2.09,0.24,0.33,2.76,0.85,1.91,10,10,44.63,91.25,-1.24,3.62,91.35,0.04,3.82,86.29,-0.25,2.78,90.74,-0.36,2.52,85.7,-0.57,4.93
SSV,0.1,Soil_culture,KW,4.75,7,64.5,3,68,130.9,0.95,0.38,2.02,0.3,0.39,4.29,0.56,3.73,12,14,44.61,84.7,-1.12,3.5,92.65,0.25,2.7,90.49,-0.56,3.52,88.78,-0.4,2.8,91.15,0.11,3.25
SSV,0.1,Soil_culture,KW,5.06,7,66,4,59,126.4,0.97,0.3,2.1,0.24,0.33,4.14,0.57,3.57,8,11,47.78,87.01,-1.73,4.38,91.85,-0.14,4.16,86.84,-0.41,2.03,79.35,0,2.6,88.31,-0.64,4.53
SSV,0.1,Soil_culture,KW,4.37,7,71,3,60,108.8,0.96,0.31,2.09,0.24,0.33,3.47,0.77,2.7,7,15,47.77,90.09,-1.65,4.22,88.81,0.47,2.27,89.76,-1.43,5.35,90.58,-1.1,5.57,91.24,0.03,5.66
SSV,0.1,Soil_culture,KW,3.15,7,63,3,61,73.5,0.96,0.31,2.09,0.24,0.33,3.62,0.52,3.1,8,10,45.01,91.67,-1.19,3.6,87.31,-0.2,3.33,89.79,-0.5,3.77,86.16,-0.32,3.2,92.39,-0.54,6.22
SSV,0.1,Soil_culture,KW,4.32,7,46.5,3,76,106.2,0.96,0.31,2.09,0.24,0.33,3.24,0.8,2.44,10,14,50.66,88.14,-0.97,1.89,89.32,0.11,2.55,87.89,-0.54,3.03,87.38,-0.52,3.09,86.57,-0.05,5.12
SSV,0.3,Soil_culture,KW,3.13,6,45.5,3,68,108.1,0.93,0.35,1.92,0.24,0.35,3.41,0.81,2.6,8,10,49.11,92.51,-1.85,4.75,89.69,-0.29,4.12,88.61,-1.18,4.96,84.14,-0.1,2.27,87.35,-1.54,10.11
SSV,0.3,Soil_culture,KW,3.94,7,66,3,59,123.3,0.95,0.36,1.94,0.29,0.42,3.75,0.61,3.14,12,15,41.36,87.59,-3.12,8.76,89.2,-0.42,4.1,87.93,-2.56,7.96,88.69,-1.8,6.01,87.14,-1.51,6.84
