Group,Concentration,Cultivation_method,Cultivar,Stem_volume,Stem_nodes,Length,Bush,Flowering_day,SPAD,Total nitrogen,PO,KO,CaO,MgO,Fresh_weight,Dry_weight,Weight_diff,Vase_life,Petals,Petal_size,L_first,a_first,b_first,L_second,a_second,b_second,L_third,a_third,b_third,L_fourth,a_fourth,b_fourth,L_fifth,a_fifth,b_fifth
SSR,0,Soil_culture,AG,3.73,9,58.5,5,56,104.5,1.18,0.32,3.08,0.13,0.44,1.97,0.35,1.62,3,9,47.12,73.34,-9.56,20.76,83.29,-9.72,20.69,78.09,-8.68,18.47,76.23,-11.05,21.8,76.8,-11.54,26.58
SSR,0,Soil_culture,AG,3.86,8,58,4,59,114,1.19,0.36,3.09,0.13,0.44,2.58,0.51,2.07,7,10,40.62,77.47,-9.7,18.43,84.34,-10.08,20.35,81.46,-7.29,16.32,75.14,-11.92,22.52,79.24,-11.59,23.07
SSR,0,Soil_culture,AG,3.65,8,47,4,59,99.9,1.16,0.33,3.09,0.13,0.43,2.21,0.37,1.84,10,13,50.35,83.01,-10.36,20.1,78.28,-14.1,27.47,81.5,-11.77,22.64,65.89,-14.12,25.6,80.43,-8.59,16.29
SSR,0,Soil_culture,AG,4.33,7,49,3,59,108.4,1.18,0.36,3.08,0.13,0.44,2.34,0.66,1.68,9,12,43.01,84.72,-12.5,25.59,82.84,-11.02,21.29,82,-10.54,20.36,77.9,-13.01,23.62,84.83,-5.72,13.97
SSR,0,Soil_culture,AG,4.03,7,61.5,4,57,96.6,1.19,0.31,3.06,0.13,0.43,2.63,0.23,2.4,10,11,42.23,83.17,-12.57,28.39,82.45,-9.28,18.39,79.95,-382.01,23.25,79.06,-13.91,26.39,73.46,-11.27,21.75
SSR,0,Soil_culture,AG,3.67,8,50.5,4,68,91.4,1.18,0.32,3.09,0.13,0.44,2.54,0.59,1.95,10,14,49.95,63.83,-4.07,23.83,78.92,-13.74,27.31,80.03,-11.36,23.02,74.53,-10.54,18.68,75.46,-13.61,25.93
SSR,0.1,Soil_culture,AG,3.99,8,57.5,4,65,93.9,0.67,0.28,2.28,0.18,0.37,2.76,0.54,2.22,12,12,52.12,76.84,-8.64,19.45,81.44,-9.07,19.65,79.69,-7.69,14.96,81.23,-6.01,12.62,79.81,-6.14,12.83
SSR,0.1,Soil_culture,AG,3.64,7,55,5,65,91.4,0.66,0.28,2.29,0.18,0.38,2.86,0.73,2.13,8,11,53.23,81.96,-5.47,13.77,80.62,-8.2,18.38,83.71,-3.11,18.82,82.06,-5.43,11.83,83.54,-8.67,18.31
SSR,0.1,Soil_culture,AG,3.55,7,45.5,5,65,96.8,0.65,0.27,2.27,0.18,0.38,2.52,0.68,1.84,10,11,55.21,84.89,-8.15,19.14,82.5,-7.42,16.12,81.06,-9.06,17.84,79.28,-8.15,16.1,79.36,-10.46,20.2
SSR,0.1,Soil_culture,AG,3.8,8,59,5,59,91.7,0.66,0.28,2.29,0.18,0.38,2.29,0.76,1.53,8,10,55.62,80.6,-13.92,31.21,82.11,-8.09,17.46,77.19,-9.75,19.01,70.28,-16.03,30.6,78.76,-10.32,21.28
SSR,0.1,Soil_culture,AG,2.72,8,50,4,65,66.5,0.67,0.28,2.28,0.18,0.37,2.2,0.6,1.6,10,11,54.15,80.7,-6.84,16.88,78.15,-12.14,24.69,72.88,-8.35,16,78.88,-10.7,22.04,74.57,-12.41,24.92
SSR,0.1,Soil_culture,AG,4.08,7,54,3,59,85.1,0.64,0.27,2.28,0.18,0.37,1.6,0.48,1.12,8,10,55.44,83.77,-9.7,22.45,83.2,-9.27,19.27,76.69,-8.96,16.33,76.77,-14.73,28.18,75.04,-12.95,26.26
SSR,0.3,Soil_culture,AG,3.02,8,56.5,5,65,61.8,0.63,0.3,2.49,0.2,0.39,2.29,0.63,1.66,12,12,51.66,77.66,-7.82,19.54,81.17,-8.28,18,81.98,-10.69,20.88,76.85,-10.6,21.66,78.82,-12.47,25.64
SSR,0.3,Soil_culture,AG,3.24,7,50,4,65,91.1,0.65,0.32,2.47,0.2,0.39,2.11,0.43,1.68,12,12,50.77,77.36,-11,24.57,80.39,-10.85,21.06,84.25,-10.33,19.74,76.8,-11.66,22.49,78.84,-12.93,24.44
SSR,0.3,Soil_culture,AG,3.04,7,49.5,4,59,89.9,0.66,0.31,2.5,0.21,0.39,2.78,0.43,2.35,12,11,55,82.93,-6.43,15.04,84.96,-5.02,11.82,83.05,-6.97,14.73,77.9,-8.05,15.95,77.82,-10.08,19.57
SSR,0.3,Soil_culture,AG,4.57,8,47.5,6,59,105.1,0.65,0.32,2.47,0.2,0.39,2.24,0.54,1.7,8,10,53.91,82.29,-8.81,18.12,80.23,-12.1,24.04,79.77,-10.44,20.56,79.34,-8.96,18.39,78.86,-12.24,24.86
SSR,0.3,Soil_culture,AG,3.43,8,55,4,75,80.4,0.64,0.3,2.47,0.2,0.37,2.88,0.72,2.16,10,10,56.65,83.14,-8.56,19.78,81.29,-11.17,22.19,86.06,-6.94,13.6,79.98,-10.17,20.22,84.26,-10.16,20.1
SSR,0.3,Soil_culture,AG,3.21,7,55.5,5,75,98,0.66,0.31,2.5,0.21,0.39,2.24,0.82,1.42,8,10,57.01,79.03,-7.41,16.27,82.51,-10.01,21.28,74.5,-6.96,13.72,77.78,-12.07,23.24,79.05,-11.41,24.43
SSR,0.5,Soil_culture,AG,4.34,8,54.5,5,65,68.9,0.76,0.28,2.72,0.18,0.37,2.85,0.42,2.43,12,12,50.21,84.13,-9.32,23.09,81.84,-8.24,17.62,78.04,-8.01,16.17,73.8,-8.84,18.72,79.49,-11.59,24.97
SSR,0.5,Soil_culture,AG,3.02,7,43,4,59,23.5,0.78,0.26,2.75,0.18,0.37,2.6,0.79,1.81,8,10,53.3,84.65,-10.24,23.93,80.89,-8.89,18.03,85.65,-7.04,14.23,79.42,-8.38,17.54,72.77,-10.16,22.15
SSR,0.5,Soil_culture,AG,3.63,8,53.5,4,59,66.5,0.78,0.26,2.73,0.18,0.38,2.91,0.83,2.08,12,12,53.4,78.59,-10.51,23.74,77.78,-9.3,18.56,81.35,-10.52,19.94,73.73,-10.74,21.73,78.74,-10.33,21.89
SSR,0.5,Soil_culture,AG,4.44,8,52,6,76,121.1,0.76,0.25,2.74,0.18,0.37,2.4,0.76,1.64,8,10,55.87,81.76,-11.23,25.07,79.14,-16.38,31.96,72.57,-13.26,25.08,73.47,-8.61,18.03,78.74,-13.68,26.9
SSR,0.5,Soil_culture,AG,3.32,8,45,6,59,97.6,0.76,0.28,2.72,0.18,0.37,2,0.67,1.33,8,10,50.62,81.3,-11.64,25.51,76.52,-9.02,19.03,76.99,-8.96,17.66,77.78,-12.94,24.78,78.47,-14.97,29.18
SSR,0.5,Soil_culture,AG,3.94,6,55,4,65,89.4,0.74,0.29,2.74,0.18,0.37,2.71,0.46,2.25,10,10,51.19,74.02,-12.38,25.65,73.82,-13.66,26.97,78.15,-9.39,19.02,83.64,-10.72,21.36,84.39,-10.38,20.86
SSR,0,Soil_culture,CP,4.43,8,50.5,4,56,99.5,1.63,0.28,2.89,0.22,0.47,3.16,0.54,2.62,5,10,50.01,77.87,13.87,1.62,77.83,15.73,3.18,69.41,7.01,3.52,72.66,6.34,3.7,70.27,9.02,8.69
SSR,0,Soil_culture,CP,4.96,8,47,4,59,89.6,1.68,0.25,2.87,0.27,0.56,3.09,0.84,2.25,3,9,52.66,73.69,20.56,2.06,74.34,16.75,1.44,75.14,15.82,1.96,73.84,13.78,0.55,70.81,11.14,3.73
SSR,0,Soil_culture,CP,4.28,8,54.5,5,59,82.8,1.62,0.27,2.89,0.22,0.47,3.01,0.61,2.4,7,11,53.09,72.16,15.99,2.15,76.83,16.47,1.41,78.97,12.64,2.23,76.94,6.42,3.07,71.55,8.49,2.87
SSR,0,Soil_culture,CP,4.57,7,49.5,5,59,82.6,1.62,0.27,2.89,0.22,0.47,3.39,0.43,2.96,7,11,54.12,82.95,11.21,3.16,78.27,15.31,3.79,74.77,3.16,1.73,64.79,5.39,2.36,74.48,9.91,6.42
SSR,0,Soil_culture,CP,4.75,7,60.5,3,61,93.1,1.62,0.27,2.88,0.22,0.47,4.41,0.5,3.91,9,12,45.99,79.31,10.93,2.28,78.32,16.68,2.64,80.12,9.77,2.43,79.37,7.48,1.63,77.67,7.41,1.72
SSR,0,Soil_culture,CP,3.74,8,65.5,3,59,72.6,1.61,0.27,2.89,0.22,0.47,2.44,0.72,1.72,7,12,50.36,79,13.42,2.48,74.69,18.63,2.47,71.76,11.64,1.03,82.7,9.29,2.54,78.14,9.49,3.31
SSR,0.1,Soil_culture,CP,4.45,8,56,5,65,87.2,0.72,0.34,2.65,0.18,0.46,2.96,0.72,2.24,6,10,55.63,75.67,15.87,2.83,74.34,13.12,2.16,83.01,5.75,5.85,70.47,10.85,4.82,81.26,12.13,4.71
SSR,0.1,Soil_culture,CP,4.25,7,65.6,3,64,90,0.73,0.35,2.66,0.23,0.56,2.7,0.65,2.05,7,13,40.32,78.16,14.96,3.62,79.6,10.03,3.73,74.21,6.66,3.67,73.59,12.59,8.31,73.37,7.24,11.75
SSR,0.1,Soil_culture,CP,4.15,7,52,4,64,91.7,0.74,0.34,2.63,0.18,0.46,2.75,0.33,2.42,7,12,55.49,75.82,8.75,1.52,80.78,10.14,2.33,70.2,4.94,3.14,76.97,8.13,3.07,76.06,11.92,6.24
SSR,0.1,Soil_culture,CP,4.92,7,50,4,65,99.8,0.72,0.34,2.65,0.18,0.46,2.42,0.56,1.86,7,13,53.24,71.83,8.39,3.52,79.73,11.19,3.03,73.41,8.86,1.85,75.45,8.74,3.9,65.28,11.11,6.77
SSR,0.1,Soil_culture,CP,3.86,7,53.5,3,74,74.6,0.72,0.34,2.65,0.18,0.46,3.82,0.78,3.04,7,12,56.62,75.65,19.09,1.13,77.59,13.44,1.25,65.59,5.55,5.19,81.21,7.88,3.44,75.21,17.07,5.5
SSR,0.1,Soil_culture,CP,4.07,6,40,4,75,75.1,0.72,0.34,2.65,0.18,0.46,3.16,0.56,2.6,6,10,54.28,83.83,7.27,2.79,78.78,8.22,3.39,71.38,5.35,2.42,80.48,7.42,2.77,74.84,7.22,8.67
SSR,0.3,Soil_culture,CP,4.82,8,57.5,4,59,86,1.11,0.32,2.72,0.2,0.44,2.41,0.32,2.09,10,13,57.55,80.38,9.56,3.68,81.89,12.01,2.94,72.26,7.06,2.68,75.64,6.4,1.59,77.72,6.49,1.99
SSR,0.3,Soil_culture,CP,5.52,8,64.8,5,59,90.9,1.15,0.36,2.76,0.25,0.54,2.46,0.51,1.95,8,10,55.69,78.83,8.06,3.49,70.56,3.94,5.9,79.68,6.46,2.67,77.46,7.64,4.64,75.9,2.14,12.44
SSR,0.3,Soil_culture,CP,4.83,6,58.5,3,59,88.3,1.14,0.32,2.74,0.2,0.44,2.38,0.35,2.03,8,12,56.66,77.61,12.92,1.98,78.04,11.49,2.42,74.65,2350.76,1.48,78.56,10.67,1.2,72.45,14.19,5.71
SSR,0.3,Soil_culture,CP,4.37,8,54.5,4,59,83.4,1.16,0.32,2.75,0.22,0.44,2.62,0.67,1.95,8,10,59.12,75.16,15.96,2.21,71.16,20.57,2.59,61.72,8.6,4.77,74.47,8.16,0.8,63.12,12,5.4
SSR,0.3,Soil_culture,CP,5.06,7,51.5,4,65,113.9,1.15,0.32,2.74,0.2,0.44,3.54,0.96,2.58,8,12,58.77,75.91,12.64,3.62,78.35,12.22,2.92,81.93,9.55,2.83,82.38,7.63,2.24,80.62,7.61,5.47
SSR,0.3,Soil_culture,CP,4.5,7,55.5,4,62,89.3,1.16,0.33,2.75,0.22,0.44,2.2,0.31,1.89,10,13,54.26,79.95,10.33,3.36,82.4,6.8,2.72,78.89,6.46,2.25,77.46,7.64,4.64,87.01,4.93,2.89
SSR,0.5,Soil_culture,CP,4.96,7,52.5,6,76,70.2,1.3,0.33,2.81,0.17,0.47,2.89,0.96,1.93,7,10,56.88,74.99,11.29,5.58,81.66,4.43,5.35,80.1,12.33,3.1,69.86,7.95,7.37,76.73,4.93,11.54
SSR,0.5,Soil_culture,CP,5.45,7,57.5,5,59,78.1,1.32,0.34,2.85,0.22,0.58,1.6,0.38,1.22,5,10,57.91,80.35,10.89,3.49,77.09,7.68,4.46,75.58,11.98,5.03,80.95,8.82,4.91,73.05,5.22,5.87
SSR,0.5,Soil_culture,CP,4.34,7,50,5,59,87.6,1.31,0.32,2.8,0.17,0.47,3.43,0.6,2.83,8,13,51.11,79.57,13.77,4.77,74.07,7.73,0.63,76.38,13.89,2.53,80.14,30.32,4.3,79.18,5.03,6.33
SSR,0.5,Soil_culture,CP,4.15,8,50.5,6,61,76.6,1.3,0.32,2.8,0.17,0.47,2.62,0.43,2.19,8,10,56.54,78.47,7.56,5.59,75.26,10.2,2.19,77.97,8.58,3.5,81.71,10.77,2.37,65.96,7.66,3.69
SSR,0.5,Soil_culture,CP,4.99,7,60.5,4,62,76.4,1.3,0.32,2.8,0.17,0.47,2.59,0.87,1.72,7,10,59.78,71.67,18.15,3.38,78.65,13.87,3.57,75.68,17.75,2.32,75.23,8.51,3.34,73.34,13.73,8.71
SSR,0.5,Soil_culture,CP,5.03,8,63,5,65,91.1,1.33,0.32,2.8,0.17,0.47,2.94,0.51,2.43,7,10,54.44,77.63,7.04,1.78,73.75,10.2,3.77,76.43,7.39,2.91,76.89,5.32,2.82,67.28,5.98,9.39
SSR,0,Soil_culture,BP,4.34,6,43,5,56,98.6,1.16,0.39,2.62,0.31,0.59,2.26,0.52,1.74,7,11,43.21,84.87,4.65,-0.55,80.6,7,-4.05,68.53,5.24,-2.46,80.66,2.37,-1.53,65.89,10.94,-9.03
SSR,0,Soil_culture,BP,4.99,6,51,6,73,96.6,1.18,0.35,2.66,0.38,0.68,2.87,0.47,2.4,9,12,40.69,29.16,40.92,-33.97,40.29,19.85,-15.79,26.18,38.45,-31.97,30.48,32.91,-26.91,31.36,33.25,-28.08
SSR,0,Soil_culture,BP,4.73,5,56,5,62,89.1,1.18,0.37,2.64,0.31,0.58,2.01,0.56,1.45,9,15,42.77,34.04,31,-26.03,59.7,18.61,-16.58,23.15,38.39,-29.65,42.6,26.54,-22.5,55.78,18.32,-15.74
SSR,0,Soil_culture,BP,3.84,5,51.5,4,59,110.6,1.18,0.35,2.66,0.38,0.68,2.51,0.61,1.9,9,14,45.89,65.23,14.09,-12.84,60.19,16.11,-12.68,55.39,31.09,-26.6,60.57,13.68,-12.81,59.68,11.49,-10.67
SSR,0,Soil_culture,BP,4.75,6,69,4,64,102.6,1.16,0.35,2.62,0.37,0.67,2.23,0.47,1.76,7,12,42.89,51.18,19.33,-17.1,82.74,4.6,0,42.76,25.03,-22.02,54.25,15.09,-13.96,70.78,4.77,-2.67
SSR,0,Soil_culture,BP,5.3,6,54.5,5,65,116.6,1.18,0.35,2.64,0.38,0.68,2.52,0.78,1.74,7,10,40.97,72.06,10.05,-8.38,71.9,11.69,-9.46,76.41,9.41,-6.57,51.9,17.4,-16.33,76.51,3.54,-0.3
SSR,0.1,Soil_culture,BP,5.27,5,64.5,7,59,102.6,0.95,0.32,2.31,0.24,0.46,1.5,0.32,1.18,10,10,45.87,68.96,10.61,-9.8,73.05,4.2,-1.67,64.91,8.35,-7.02,66.89,11.49,-9.5,78.64,7.71,-4.2
SSR,0.1,Soil_culture,BP,5.87,5,62,7,60,130.4,0.96,0.34,2.33,0.29,0.54,1.69,0.36,1.33,7,10,40.4,66.26,15.37,-11.94,82.55,1.44,2.54,82.98,1.57,1.84,84.19,1.42,2.95,45.14,4.91,4.24
SSR,0.1,Soil_culture,BP,4.38,5,51,5,65,121.4,0.85,0.27,2.54,0.25,0.47,1.65,0.4,1.25,10,10,45.45,71.21,11.03,-7.96,27.1,39.71,-33.08,52.59,19.65,-16.05,62.57,12.39,-10.02,82.53,0.02,3.22
SSR,0.1,Soil_culture,BP,4.89,6,62.5,6,65,113.8,0.96,0.34,2.33,0.29,0.54,2.56,0.53,2.03,8,9,45.88,64.57,14.98,-13.07,42.8,19.11,-15.95,80.86,3.55,-1.27,56.43,20.51,-16.79,90.1,0.98,3.41
SSR,0.1,Soil_culture,BP,4.42,5,55,5,62,109,0.95,0.32,2.31,0.29,0.54,2.24,0.67,1.57,8,10,43.33,83.97,1.2,1.93,80.41,5.97,-2.79,78.4,1.41,0.61,85.29,1.98,-0.09,87.81,0.4,3.27
SSR,0.1,Soil_culture,BP,5.32,5,50.5,4,65,120.5,0.96,0.34,2.33,0.29,0.54,2.6,0.37,2.23,10,10,47.77,53.68,15.75,-13.56,77.66,6.3,-2.69,66.21,6.56,-3.47,74.18,7.28,-5.04,86.73,2.49,0
SSR,0.3,Soil_culture,BP,5.22,6,65.5,6,59,112.6,0.94,0.35,2.55,0.26,0.52,2.47,0.54,1.93,8,9,45.98,81.04,3.06,1.43,80.23,2.78,0.93,78.76,4.11,-1.37,86.85,1.59,1.63,55.08,13.7,-11.66
SSR,0.3,Soil_culture,BP,5.28,6,64.5,5,60,117.3,0.98,0.35,2.56,0.32,0.6,2.53,0.59,1.94,10,10,48,81.59,3.07,0.03,76.44,1.37,2.69,80.53,2.6,-0.08,71.35,5.35,-1.91,65.35,10.61,-7.51
SSR,0.3,Soil_culture,BP,5,6,54.5,5,61,105.5,0.97,0.34,2.22,0.31,0.49,2.88,0.49,2.39,10,10,45.36,39.38,27.48,-22.67,41.47,23.15,-18.74,29.62,29.67,-25.08,41.34,23.08,-18.84,59.35,12.21,-9.61
SSR,0.3,Soil_culture,BP,5.94,6,63,7,62,96.9,0.97,0.34,2.55,0.32,0.6,2.25,0.38,1.87,10,10,52.87,54.58,19.69,-15.59,81.47,1.07,1.64,77.44,2.8,0.06,86.2,0.2,2.25,89.33,-0.09,3.32
SSR,0.3,Soil_culture,BP,4.37,5,56.5,6,65,105.4,0.94,0.33,2.53,0.32,0.61,2.65,0.72,1.93,10,10,47.77,71.87,10.08,-7.55,63.9,7.99,-5.71,79.35,0.38,1.43,88.11,0.68,2.65,90.08,-0.38,4.41
SSR,0.3,Soil_culture,BP,5.37,5,59.5,7,76,104.9,0.97,0.34,2.55,0.32,0.6,1.96,0.52,1.44,10,10,45.92,84.65,2.1,1.67,66.3,12.95,-10.34,87.82,0.25,2.54,80.34,4.46,-0.94,79.52,4.84,-2.01
SSR,0.5,Soil_culture,BP,4.37,6,53.5,6,77,111.6,0.96,0.34,2.76,0.24,0.51,3.47,0.6,2.87,12,10,51.84,66.41,7.17,-5.44,61.47,16.1,-13.42,65.41,14.62,-12.07,44.46,20.82,-17.78,48.89,21.15,-18.29
SSR,0.5,Soil_culture,BP,4.45,6,49,5,59,99.6,0.98,0.36,2.74,0.29,0.6,2.41,0.76,1.65,7,10,46.74,73.09,7.98,-4.92,80.35,5.22,-1.72,77.1,3.49,-0.73,76.63,3.14,-0.77,62.29,11.22,-3.32
SSR,0.5,Soil_culture,BP,4.52,6,54.5,5,62,137.6,0.77,0.49,2.28,0.31,0.49,2.64,0.65,1.99,12,10,47.17,25.24,32.91,-25.39,64.07,11.8,-7.56,73.32,6.84,-4.13,41.23,22.92,-19.23,35.27,31.32,-27.4
SSR,0.5,Soil_culture,BP,4.7,6,51.5,6,65,119,0.98,0.36,2.74,0.29,0.61,2.11,0.32,1.79,12,11,43.12,78.96,6.5,-3.21,86.74,5.03,-1.11,85.89,2.6,-0.41,78.51,2.27,0.28,76.22,1.25,1.17
SSR,0.5,Soil_culture,BP,3.94,5,47,5,65,106.6,0.96,0.34,2.76,0.29,0.6,1.96,0.44,1.52,10,10,46.54,62.4,17.07,-13.34,86.87,1.24,2.02,66.75,12.84,-9.76,71.55,10.58,-7.47,76.32,0.54,1.93
SSR,0.5,Soil_culture,BP,3.95,5,52.5,4,75,104,0.98,0.36,2.74,0.29,0.61,2.17,0.32,1.85,10,10,46.01,49.16,20.24,-16.32,62.39,10.88,-7.24,85.27,2.51,0.55,54.06,16.35,-13.9,70.64,8.09,-6.45
SSR,0,Soil_culture,KW,4.08,8,66.5,3,64,99,1.34,0.35,2.36,0.24,0.47,3.71,0.61,3.1,7,11,42.98,87.02,-1.86,5.9,87.54,-0.84,4.88,89.34,-2.34,6.95,88.12,-0.49,3.07,86.65,-2.26,9.9
SSR,0,Soil_culture,KW,4.92,7,63.5,3,65,74.5,1.36,0.38,2.32,0.31,0.57,3.9,0.68,3.22,7,13,44.62,92.18,-0.8,3.76,90.33,-0.4,4.68,83.76,-0.84,4.07,89.63,-0.29,3.52,85.89,-0.24,11.12
SSR,0,Soil_culture,KW,3.86,7,56.7,3,65,90.8,1.33,0.37,2.35,0.24,0.47,3.36,0.63,2.73,7,11,42.36,89.16,-0.52,2.49,84.8,-0.29,3.5,86.18,-0.34,4.23,81.87,-0.36,2.12,91.1,-0.34,4.97
SSR,0,Soil_culture,KW,4.03,7,54.5,2,65,117.7,1.31,0.37,2.38,0.24,0.47,3.64,0.47,3.17,7,14,44.06,86.28,-1.81,6.34,88.8,-0.03,2.76,87.17,-0.94,4.22,84.51,-1.21,4.03,91.09,-1.14,9.18
SSR,0,Soil_culture,KW,4.63,7,63.5,4,63,134,1.33,0.37,2.34,0.24,0.47,4.54,0.43,4.11,7,11,40.88,91.25,-0.63,4.11,88.6,-0.36,4.47,84.62,-0.1,3.06,79.48,-0.28,1.95,85.22,0.21,6.63
SSR,0,Soil_culture,KW,4.89,7,61,4,60,125.1,1.31,0.37,2.38,0.24,0.47,2.94,0.85,2.09,10,15,41.22,91.58,-0.66,3.18,90.23,-0.16,3.98,87.67,-0.73,3.86,93.17,-0.19,3.78,90.35,0.32,2.47
SSR,0.1,Soil_culture,KW,4.36,7,66.5,4,61,109.4,0.83,0.41,1.91,0.2,0.35,4.4,0.65,3.75,10,14,47.12,86.2,-0.51,4.09,86.98,0.46,2.37,86.72,-1.1,4.27,87.07,-0.61,4.43,85.38,0.37,2.4
SSR,0.1,Soil_culture,KW,4.23,7,67,6,65,128.7,0.86,0.45,1.98,0.24,0.41,1.01,0.49,0.52,10,14,48.55,90.24,-2.15,7.44,91.68,-1.55,7.29,86.49,-1.92,6.47,87.97,-1.69,6.45,81.3,-1.76,7.42
SSR,0.1,Soil_culture,KW,4.26,7,58.5,5,65,119.4,0.81,0.42,1.93,0.2,0.35,1.61,0.69,0.92,8,15,51,92.56,-0.97,5.06,87.99,0.21,2.27,85.76,-0.7,3.04,89.31,-0.63,4.35,90.86,-0.6,5.87
SSR,0.1,Soil_culture,KW,4.29,7,64.5,4,60,125.5,0.83,0.41,1.91,0.2,0.35,3.09,0.64,2.45,8,14,44.21,92.19,0.09,2.57,90.25,-0.2,4.12,87.55,-0.38,2.38,89.29,0.45,1.98,86.04,0.03,5.05
SSR,0.1,Soil_culture,KW,4.13,7,65.5,5,62,130.5,0.83,0.41,1.91,0.2,0.35,3.72,0.4,3.32,12,14,40.23,87.93,-0.03,2.51,88.1,0.44,1.61,85.51,-1.82,5.86,84.77,0.51,1.38,88.96,0.37,2.3
SSR,0.1,Soil_culture,KW,4.41,6,58.5,4,64,112.5,0.83,0.41,1.91,0.2,0.35,3.58,0.61,2.97,10,13,42.47,91.3,-0.2,3.42,86.16,0.7,1.53,91.47,-0.69,3.62,89.97,-0.18,3.73,89.6,-0.65,5.66
SSR,0.3,Soil_culture,KW,4.5,7,63.5,4,65,133.8,0.74,0.42,1.89,0.24,0.4,3.81,0.53,3.28,10,11,44.31,84.56,-0.57,4.3,89.21,0.39,2.58,89.85,-0.93,3.64,76.83,-0.03,2.02,82.82,0.32,2.13
SSR,0.3,Soil_culture,KW,4.05,6,59.5,5,59,124.7,0.72,0.44,1.88,0.28,0.46,3.12,0.66,2.46,8,10,42.65,90.62,-0.16,2.54,84.71,-0.08,3.03,87.26,-0.79,3.95,79.32,-0.37,4.06,88.66,-0.73,5.1
SSR,0.3,Soil_culture,KW,4.88,7,60,5,59,130.6,0.76,0.43,1.87,0.23,0.4,5.42,0.69,4.73,12,14,45.77,86.49,-0.75,4.82,88.86,-0.08,3.66,87.27,-0.59,3.47,86.23,-0.65,4.99,89.66,-0.68,6.12
SSR,0.3,Soil_culture,KW,4.36,6,58,4,77,115.7,0.75,0.42,1.89,0.24,0.4,2.71,0.38,2.33,7,10,48.26,90.33,-0.31,3.37,89.15,-0.89,5.51,84.47,-1.06,3.99,86.91,-0.64,4.81,89.96,-1.19,10
SSR,0.3,Soil_culture,KW,5.2,6,49.5,4,62,89.4,0.74,0.44,1.89,0.24,0.41,2.91,0.63,2.28,8,10,45.54,91.27,-0.6,4.7,87.81,-0.03,4.01,86.06,-0.54,2.52,86.72,0.26,1.39,89.88,-1.54,7.2
SSR,0.3,Soil_culture,KW,4.04,6,50,5,65,115,0.75,0.42,1.89,0.24,0.4,3.73,0.42,3.31,12,14,53.33,88.1,-1.34,5.91,88.09,0.26,2.83,77.96,-0.51,2.12,86.29,0.28,1.35,91.72,0,3
SSR,0.5,Soil_culture,KW,4.44,7,68,7,76,89.1,0.29,2.75,1.81,0.22,0.35,4.2,0.45,3.75,12,10,41.12,89.53,-1.79,6.56,82.64,0.43,1.68,88.78,-0.38,2.45,81.98,0.24,2.14,89.95,-0.15,2.96
SSR,0.5,Soil_culture,KW,4.09,6,52.5,4,62,67.2,0.27,2.76,1.85,0.27,0.4,3.86,0.39,3.47,10,10,45.54,88.37,-3.04,9.97,89.61,-0.63,5.18,84.21,-2.9,8.01,80.38,0.15,2.11,81.23,-1.85,7.43
SSR,0.5,Soil_culture,KW,4.63,7,58,4,65,103.8,0.28,2.74,1.81,0.22,0.35,4.26,0.77,3.49,12,14,49.66,89.39,-0.79,4.06,89.58,-1.32,6.8,90.49,-0.37,2.86,88.83,-0.33,3.44,84.97,0,2.98
SSR,0.5,Soil_culture,KW,5.04,7,66.5,5,65,98.6,0.28,2.74,1.81,0.22,0.35,3.67,0.43,3.24,10,10,48.77,87.94,-0.47,3.52,90.2,-0.11,3.57,90.63,-0.8,3.99,85.65,0.15,2.84,90.1,-1.31,6.83
SSR,0.5,Soil_culture,KW,5.02,6,70,5,65,101.9,0.28,2.74,1.81,0.22,0.35,4.43,0.9,3.53,10,10,42.65,91.47,-2.35,7.92,86.75,-0.38,3.69,86.98,-0.6,2.84,82.21,-1.02,5.28,81.94,-0.38,3.71
SSR,0.5,Soil_culture,KW,5,6,58,4,75,137.7,0.28,2.74,1.81,0.22,0.35,3.11,0.42,2.69,8,10,45.19,88.11,-1.56,6.29,84.57,0.6,1.32,89.16,-0.31,2.45,88.15,-0.25,3.93,86.72,-1.37,6.85
HSV,0,Nutrient_culture,AG,3.03,7,64,3,56,108,1.12,1.47,3.23,0.18,0.65,2.6,1.29,1.31,5,10,48.85,72.94,-11.84,21.13,81.78,-15.33,28.88,82.36,-14.84,26.57,86.27,-10.6,24.78,83.03,-11.26,23.47
HSV,0,Nutrient_culture,AG,3.24,8,55.5,2,65,103.9,1.14,1.45,3.24,0.19,0.66,2.79,1.34,1.45,5,11,50.79,72.94,-11.84,21.13,81.68,-12.73,24.8,82.43,-14.7,27.55,78.59,-9.22,25.55,76.83,-10.03,23.94
HSV,0,Nutrient_culture,AG,3.81,8,57.8,2,59,121.2,1.11,1.47,3.25,0.18,0.64,2.45,1.04,1.41,5,10,51.35,80.35,-12.68,23.03,80.01,-14.96,29.94,82.08,-14.06,27.47,71.23,-7.12,29.13,69.47,-8.1,27.82
HSV,0,Nutrient_culture,AG,3.91,7,45,4,59,133.3,1.13,1.45,3.25,0.19,0.66,3,1.46,1.54,6,10,52.76,79.3,-13.36,24.54,79.6,-14.37,27.05,80.38,-13.66,25.41,80.01,-12.89,30.66,77.84,-13.69,28.93
