id,group,cult,day,concentration,no,samp,VL,a,b,L
NSA_0.0_AG_5_3,HSR,AG,1,0,3,5,7,-6.41,13.18,69.81
NSA_0.0_AG_5_3,HSR,AG,6,0,3,5,7,-5.14,10.41,81.18
NSA_0.0_AG_5_3,HSR,AG,9,0,3,5,7,-5.88,11.5,79.95
NSA_0.0_AG_5_3,HSR,AG,11,0,3,5,7,-6.22,21.39,78.66
NSA_0.0_AG_5_3,HSR,AG,14,0,3,5,7,-5.27,25.14,66.79
NSA_0.0_AG_6_1,HSR,AG,1,0,1,6,8,-4.04,7.28,84.03
NSA_0.0_AG_6_1,HSR,AG,6,0,1,6,8,-6.29,13.71,82.27
NSA_0.0_AG_6_1,HSR,AG,9,0,1,6,8,-5.98,11.8,79.8
NSA_0.0_AG_6_1,HSR,AG,11,0,1,6,8,-11.84,25.61,82.81
NSA_0.0_AG_6_1,HSR,AG,14,0,1,6,8,-10.97,26.58,73.48
NSA_0.0_AG_6_2,HSR,AG,1,0,2,6,8,-3.67,6.19,83.07
NSA_0.0_AG_6_2,HSR,AG,6,0,2,6,8,-6.19,13.73,81.8
NSA_0.0_AG_6_2,HSR,AG,9,0,2,6,8,-5.9,11.9,79.18
NSA_0.0_AG_6_2,HSR,AG,11,0,2,6,8,-11.86,25.64,83.06
NSA_0.0_AG_6_2,HSR,AG,14,0,2,6,8,-8.81,26.47,72.29
NSA_0.0_AG_6_3,HSR,AG,1,0,3,6,8,-4.4,7.55,84.17
NSA_0.0_AG_6_3,HSR,AG,6,0,3,6,8,-6.21,13.68,81.73
NSA_0.0_AG_6_3,HSR,AG,9,0,3,6,8,-5.94,11.97,78.28
NSA_0.0_AG_6_3,HSR,AG,11,0,3,6,8,-11.89,25.63,83.2
NSA_0.0_AG_6_3,HSR,AG,14,0,3,6,8,-8.84,26.6,72.47
NSA_0.0_AG_7_1,HSR,AG,1,0,1,7,10,-5.58,8.49,86.81
NSA_0.0_AG_7_1,HSR,AG,6,0,1,7,10,-7.09,14.62,83.88
NSA_0.0_AG_7_1,HSR,AG,9,0,1,7,10,-7.66,15.11,65.88
NSA_0.0_AG_7_1,HSR,AG,11,0,1,7,10,-11.06,21.87,85.24
NSA_0.0_AG_7_1,HSR,AG,14,0,1,7,10,-7.67,17.62,87.06
NSA_0.0_AG_7_2,HSR,AG,1,0,2,7,10,-5.39,8.5,85.77
NSA_0.0_AG_7_2,HSR,AG,6,0,2,7,10,-7.07,14.57,83.34
NSA_0.0_AG_7_2,HSR,AG,9,0,2,7,10,-5.46,11.28,62.04
NSA_0.0_AG_7_2,HSR,AG,11,0,2,7,10,-11.26,22.19,85.3
NSA_0.0_AG_7_2,HSR,AG,14,0,2,7,10,-7.71,17.9,87.23
NSA_0.0_AG_7_3,HSR,AG,1,0,3,7,10,-4.87,8.12,81.72
NSA_0.0_AG_7_3,HSR,AG,6,0,3,7,10,-7.31,14.78,83.03
NSA_0.0_AG_7_3,HSR,AG,9,0,3,7,10,-5.87,12.12,64.42
NSA_0.0_AG_7_3,HSR,AG,11,0,3,7,10,-12.38,23.83,84.34
NSA_0.0_AG_7_3,HSR,AG,14,0,3,7,10,-7.71,17.98,87.22
NSA_0.0_AG_8_1,HSR,AG,1,0,1,8,10,-9.96,18.5,78.86
NSA_0.0_AG_8_1,HSR,AG,6,0,1,8,10,-4.84,11,71.75
NSA_0.0_AG_8_1,HSR,AG,9,0,1,8,10,-9.81,18.3,78.38
NSA_0.0_AG_8_1,HSR,AG,11,0,1,8,10,-11.19,22.8,83.28
NSA_0.0_AG_8_1,HSR,AG,14,0,1,8,10,-8.18,21.17,84.17
NSA_0.0_AG_8_2,HSR,AG,1,0,2,8,10,-10.91,20.63,81.11
NSA_0.0_AG_8_2,HSR,AG,6,0,2,8,10,-4.58,10.74,70.5
NSA_0.0_AG_8_2,HSR,AG,9,0,2,8,10,-9.45,17.72,78.76
NSA_0.0_AG_8_2,HSR,AG,11,0,2,8,10,-11.06,24.1,80.99
NSA_0.0_AG_8_2,HSR,AG,14,0,2,8,10,-8.2,21.17,84.26
NSA_0.0_AG_8_3,HSR,AG,1,0,3,8,10,-11.54,21.69,81.73
NSA_0.0_AG_8_3,HSR,AG,6,0,3,8,10,-4.89,11.06,73.36
NSA_0.0_AG_8_3,HSR,AG,9,0,3,8,10,-10.14,18.86,81.41
NSA_0.0_AG_8_3,HSR,AG,11,0,3,8,10,-11.09,24.15,81.04
NSA_0.0_AG_8_3,HSR,AG,14,0,3,8,10,-8.21,21.18,84.59
NSA_0.0_AG_9_1,HSR,AG,1,0,1,9,10,-7.01,15.27,70.15
NSA_0.0_AG_9_1,HSR,AG,6,0,1,9,10,-10.69,23.01,81.6
NSA_0.0_AG_9_1,HSR,AG,9,0,1,9,10,-8.16,17.51,82.7
NSA_0.0_AG_9_1,HSR,AG,11,0,1,9,10,-10.4,21.78,82.3
NSA_0.0_AG_9_1,HSR,AG,14,0,1,9,10,-8.25,21.53,80.01
NSA_0.0_AG_9_2,HSR,AG,1,0,2,9,10,-7.1,14.82,73.51
NSA_0.0_AG_9_2,HSR,AG,6,0,2,9,10,-10.55,22.81,81.27
NSA_0.0_AG_9_2,HSR,AG,9,0,2,9,10,-8.16,17.54,83.29
NSA_0.0_AG_9_2,HSR,AG,11,0,2,9,10,-10.44,22.09,82.53
NSA_0.0_AG_9_2,HSR,AG,14,0,2,9,10,-8.28,21.59,80.03
NSA_0.0_AG_9_3,HSR,AG,1,0,3,9,10,-7.66,15.94,76.61
NSA_0.0_AG_9_3,HSR,AG,6,0,3,9,10,-10.76,22.87,82.04
NSA_0.0_AG_9_3,HSR,AG,9,0,3,9,10,-8.3,17.65,83.16
NSA_0.0_AG_9_3,HSR,AG,11,0,3,9,10,-10.54,22.19,82.66
NSA_0.0_AG_9_3,HSR,AG,14,0,3,9,10,-8.65,22.29,80.82
NSA_0.0_AG_10_1,HSR,AG,1,0,1,10,10,-6.54,11.61,80.82
NSA_0.0_AG_10_1,HSR,AG,6,0,1,10,10,-8.84,16.2,84.08
NSA_0.0_AG_10_1,HSR,AG,9,0,1,10,10,-8.72,16.44,81.37
NSA_0.0_AG_10_1,HSR,AG,11,0,1,10,10,-9.16,18.83,84.63
NSA_0.0_AG_10_1,HSR,AG,14,0,1,10,10,-9.03,20.63,82.69
NSA_0.0_AG_10_2,HSR,AG,1,0,2,10,10,-7.1,12.17,82.46
NSA_0.0_AG_10_2,HSR,AG,6,0,2,10,10,-9.05,16.4,84.35
NSA_0.0_AG_10_2,HSR,AG,9,0,2,10,10,-8.75,16.48,81.89
NSA_0.0_AG_10_2,HSR,AG,11,0,2,10,10,-9.69,19.93,85.88
NSA_0.0_AG_10_2,HSR,AG,14,0,2,10,10,-9.13,20.9,83.02
NSA_0.0_AG_10_3,HSR,AG,1,0,3,10,10,-7.37,12.5,83.39
NSA_0.0_AG_10_3,HSR,AG,6,0,3,10,10,-9.1,16.43,84.34
NSA_0.0_AG_10_3,HSR,AG,9,0,3,10,10,-8.76,16.7,72.27
NSA_0.0_AG_10_3,HSR,AG,11,0,3,10,10,-9.89,20.14,86.03
NSA_0.0_AG_10_3,HSR,AG,14,0,3,10,10,-9.32,21.11,83.36
NSA_0.0_AG_11_1,HSR,AG,1,0,1,11,9,-10.47,17.8,84.65
NSA_0.0_AG_11_1,HSR,AG,6,0,1,11,9,-8.43,16.73,80.56
NSA_0.0_AG_11_1,HSR,AG,9,0,1,11,9,-12.3,23.41,81.43
NSA_0.0_AG_11_1,HSR,AG,11,0,1,11,9,-12.75,25.14,82.99
NSA_0.0_AG_11_1,HSR,AG,14,0,1,11,9,-9.85,24.32,82.47
NSA_0.0_AG_11_2,HSR,AG,1,0,2,11,9,-10.35,17.66,84.68
NSA_0.0_AG_11_2,HSR,AG,6,0,2,11,9,-7.58,15.52,79.32
NSA_0.0_AG_11_2,HSR,AG,9,0,2,11,9,-12.03,23.14,80.41
NSA_0.0_AG_11_2,HSR,AG,11,0,2,11,9,-13,25.53,83.33
NSA_0.0_AG_11_2,HSR,AG,14,0,2,11,9,-9.82,24.21,82.54
NSA_0.0_AG_11_3,HSR,AG,1,0,3,11,9,-10.54,17.82,85.08
NSA_0.0_AG_11_3,HSR,AG,6,0,3,11,9,-7.7,15.56,79.77
NSA_0.0_AG_11_3,HSR,AG,9,0,3,11,9,-11.89,22.96,80.16
NSA_0.0_AG_11_3,HSR,AG,11,0,3,11,9,-12.87,25.33,83.19
NSA_0.0_AG_11_3,HSR,AG,14,0,3,11,9,-9.83,24.23,82.56
NSA_0.0_AG_12_1,HSR,AG,1,0,1,12,7,-8.24,14.94,77.58
NSA_0.0_AG_12_1,HSR,AG,6,0,1,12,7,-9.28,18.69,83.58
NSA_0.0_AG_12_1,HSR,AG,9,0,1,12,7,-11.84,24.86,83.23
NSA_0.0_AG_12_1,HSR,AG,11,0,1,12,7,-8.34,24.73,67.76
NSA_0.0_AG_12_1,HSR,AG,14,0,1,12,7,-3.46,21.7,60.15
NSA_0.0_AG_12_2,HSR,AG,1,0,2,12,7,-8.34,14.93,78.16
NSA_0.0_AG_12_2,HSR,AG,6,0,2,12,7,-9.26,18.64,83.36
NSA_0.0_AG_12_2,HSR,AG,9,0,2,12,7,-12.06,25.24,84.02
NSA_0.0_AG_12_2,HSR,AG,11,0,2,12,7,-8.2,24.69,67.87
NSA_0.0_AG_12_2,HSR,AG,14,0,2,12,7,-3.4,21.7,60.31
NSA_0.0_AG_12_3,HSR,AG,1,0,3,12,7,-8.49,15.23,78.86
NSA_0.0_AG_12_3,HSR,AG,6,0,3,12,7,-9.17,18.6,83.28
NSA_0.0_AG_12_3,HSR,AG,9,0,3,12,7,-12.05,25.12,83.9
NSA_0.0_AG_12_3,HSR,AG,11,0,3,12,7,-8.31,24.71,67
NSA_0.0_AG_12_3,HSR,AG,14,0,3,12,7,-2.93,20.2,58.83
NSA_0.1_AG_1_1,HSR,AG,1,0.1,1,1,14,-4.17,8.43,82.99
NSA_0.1_AG_1_1,HSR,AG,6,0.1,1,1,14,-7.63,17.2,67.76
NSA_0.1_AG_1_1,HSR,AG,9,0.1,1,1,14,-7.66,14.94,82.58
NSA_0.1_AG_1_1,HSR,AG,11,0.1,1,1,14,-10.66,20.41,84.8
NSA_0.1_AG_1_1,HSR,AG,14,0.1,1,1,14,-9.16,18.41,85.97
NSA_0.1_AG_1_2,HSR,AG,1,0.1,2,1,14,-4.28,8.46,83.28
NSA_0.1_AG_1_2,HSR,AG,6,0.1,2,1,14,-3.64,11.18,71.88
NSA_0.1_AG_1_2,HSR,AG,9,0.1,2,1,14,-8.16,15.52,84.6
NSA_0.1_AG_1_2,HSR,AG,11,0.1,2,1,14,-10.87,20.71,84.91
NSA_0.1_AG_1_2,HSR,AG,14,0.1,2,1,14,-9.32,18.58,85.94
NSA_0.1_AG_1_3,HSR,AG,1,0.1,3,1,14,-4.3,8.52,83.29
NSA_0.1_AG_1_3,HSR,AG,6,0.1,3,1,14,-3.8,10.49,71.27
NSA_0.1_AG_1_3,HSR,AG,9,0.1,3,1,14,-8.14,15.6,84.73
NSA_0.1_AG_1_3,HSR,AG,11,0.1,3,1,14,-10.88,20.83,84.87
NSA_0.1_AG_1_3,HSR,AG,14,0.1,3,1,14,-9.35,18.63,85.96
NSA_0.1_AG_2_1,HSR,AG,1,0.1,1,2,12,-3.9,7.67,86.02
NSA_0.1_AG_2_1,HSR,AG,6,0.1,1,2,12,-7.02,14.06,84.42
NSA_0.1_AG_2_1,HSR,AG,9,0.1,1,2,12,-6.1,13.06,70.97
NSA_0.1_AG_2_1,HSR,AG,11,0.1,1,2,12,-11.4,22.46,84.7
NSA_0.1_AG_2_1,HSR,AG,14,0.1,1,2,12,-5.36,12.63,86.22
NSA_0.1_AG_2_2,HSR,AG,1,0.1,2,2,12,-4.74,9.51,87.84
NSA_0.1_AG_2_2,HSR,AG,6,0.1,2,2,12,-7.23,14.57,85.18
NSA_0.1_AG_2_2,HSR,AG,9,0.1,2,2,12,-7.45,15.41,75.84
NSA_0.1_AG_2_2,HSR,AG,11,0.1,2,2,12,-11.8,23.25,85.4
NSA_0.1_AG_2_2,HSR,AG,14,0.1,2,2,12,-5.47,12.93,87.04
NSA_0.1_AG_2_3,HSR,AG,1,0.1,3,2,12,-5.14,10.15,88.2
NSA_0.1_AG_2_3,HSR,AG,6,0.1,3,2,12,-7.22,14.65,85.38
NSA_0.1_AG_2_3,HSR,AG,9,0.1,3,2,12,-8.62,17.25,78.02
NSA_0.1_AG_2_3,HSR,AG,11,0.1,3,2,12,-11.7,23.27,85.61
NSA_0.1_AG_2_3,HSR,AG,14,0.1,3,2,12,-5.64,13.08,87.25
NSA_0.1_AG_3_1,HSR,AG,1,0.1,1,3,12,-10.73,19.95,80.9
NSA_0.1_AG_3_1,HSR,AG,6,0.1,1,3,12,-6.91,15.45,88.23
NSA_0.1_AG_3_1,HSR,AG,9,0.1,1,3,12,-10.94,21.41,83.9
NSA_0.1_AG_3_1,HSR,AG,11,0.1,1,3,12,-10.13,19.68,84.29
NSA_0.1_AG_3_1,HSR,AG,14,0.1,1,3,12,-5.76,13.98,85.72
NSA_0.1_AG_3_2,HSR,AG,1,0.1,2,3,12,-10.42,19.54,81.51
NSA_0.1_AG_3_2,HSR,AG,6,0.1,2,3,12,-6.96,15.62,88.33
NSA_0.1_AG_3_2,HSR,AG,9,0.1,2,3,12,-10.97,21.45,83.91
NSA_0.1_AG_3_2,HSR,AG,11,0.1,2,3,12,-10.35,20.07,84.62
NSA_0.1_AG_3_2,HSR,AG,14,0.1,2,3,12,-5.76,14,85.91
NSA_0.1_AG_3_3,HSR,AG,1,0.1,3,3,13,-10.17,19.5,83.11
NSA_0.1_AG_3_3,HSR,AG,6,0.1,3,3,13,-7.16,15.96,88.41
NSA_0.1_AG_3_3,HSR,AG,9,0.1,3,3,13,-11,21.58,83.89
NSA_0.1_AG_3_3,HSR,AG,11,0.1,3,3,13,-10.49,20.38,84.96
NSA_0.1_AG_3_3,HSR,AG,14,0.1,3,3,13,-5.97,14.31,86.7
NSA_0.1_AG_4_1,HSR,AG,1,0.1,1,4,13,-6.39,12.31,86.6
NSA_0.1_AG_4_1,HSR,AG,6,0.1,1,4,13,-2.79,8.03,74.43
NSA_0.1_AG_4_1,HSR,AG,9,0.1,1,4,13,-8.69,17.9,77.61
NSA_0.1_AG_4_1,HSR,AG,11,0.1,1,4,13,-7.2,13.84,77.69
NSA_0.1_AG_4_1,HSR,AG,14,0.1,1,4,13,-5.21,11.74,84.47
NSA_0.1_AG_4_2,HSR,AG,1,0.1,2,4,13,-6.07,11.79,86.64
NSA_0.1_AG_4_2,HSR,AG,6,0.1,2,4,13,-2.74,8.13,74.47
NSA_0.1_AG_4_2,HSR,AG,9,0.1,2,4,13,-8.85,18.22,77.75
NSA_0.1_AG_4_2,HSR,AG,11,0.1,2,4,13,-6.94,13.39,76.44
NSA_0.1_AG_4_2,HSR,AG,14,0.1,2,4,13,-5.96,13.01,86.3
NSA_0.1_AG_4_3,HSR,AG,1,0.1,3,4,14,-6.11,11.6,86.42
NSA_0.1_AG_4_3,HSR,AG,6,0.1,3,4,14,-2.69,7.98,75.15
NSA_0.1_AG_4_3,HSR,AG,9,0.1,3,4,14,-9.08,18.61,78.64
NSA_0.1_AG_4_3,HSR,AG,11,0.1,3,4,14,-7.69,14.42,79.31
