Condition,Substrate,Group,Treatment_method ,Concentration,Treatment,Treat_No.,Cultivar,Samples,stem.volume,stem.nodes,length,bush,flowering.day,SPAD
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_BP,1,BP,6,5.3,6,54.5,5,65,116.6
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_BP,2,BP,1,3.7,6,54.6,4,65,126.2
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_BP,2,BP,2,3.69,6,48.5,2,65,106.7
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_BP,2,BP,3,2.89,6,57,3,61,120.4
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_BP,2,BP,4,4.02,6,54.5,4,75,95.3
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_BP,2,BP,5,4.24,7,47.5,4,59,91.5
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_BP,2,BP,6,3.79,6,48,3,65,110.9
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_BP,3,BP,1,4.4,6,74.5,5,62,64.8
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_BP,3,BP,2,3.95,6,53.5,5,65,82.6
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_BP,3,BP,3,4.47,6,57.5,4,59,74.7
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_BP,3,BP,4,5.45,6,51,3,60,118.9
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_BP,3,BP,5,4.7,6,56.5,3,59,117.7
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_BP,3,BP,6,4.06,6,51,4,68,135.8
plant,soil,SSV,PSA1_0.5,0.5,PSA1_0.5_BP,4,BP,1,4.2,6,53.5,5,64,124.3
plant,soil,SSV,PSA1_0.5,0.5,PSA1_0.5_BP,4,BP,2,4.79,6,57,4,59,122.3
plant,soil,SSV,PSA1_0.5,0.5,PSA1_0.5_BP,4,BP,3,4.42,6,59,4,56,136.2
plant,soil,SSV,PSA1_0.5,0.5,PSA1_0.5_BP,4,BP,4,3.18,5,58,3,62,97.4
plant,soil,SSV,PSA1_0.5,0.5,PSA1_0.5_BP,4,BP,5,4.69,7,57.5,5,68,99.8
plant,soil,SSV,PSA1_0.5,0.5,PSA1_0.5_BP,4,BP,6,4.81,6,57.5,4,65,94.1
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_KW,1,KW,1,4.08,8,66.5,3,64,99.8
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_KW,1,KW,2,4.92,7,63.5,3,65,74.5
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_KW,1,KW,3,3.86,7,56.7,3,65,90.8
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_KW,1,KW,4,4.03,7,54.5,2,65,117.7
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_KW,1,KW,5,4.63,7,63.5,4,63,134
plant,soil,SSV,PSA1_0.0,0,PSA1_0.0_KW,1,KW,6,4.89,7,61,4,60,125.1
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_KW,2,KW,1,5.14,7,66.5,5,65,135
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_KW,2,KW,2,4.75,7,64.5,3,68,130.9
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_KW,2,KW,3,5.06,7,66,4,59,126.4
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_KW,2,KW,4,4.37,7,71,3,60,108.8
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_KW,2,KW,5,3.15,7,63,3,61,73.5
plant,soil,SSV,PSA1_0.1,0.1,PSA1_0.1_KW,2,KW,6,4.32,7,46.5,3,76,106.2
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_KW,3,KW,1,3.13,6,45.5,3,68,108.1
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_KW,3,KW,2,3.94,7,66,3,59,123.3
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_KW,3,KW,3,3.78,6,68.5,3,61,134.8
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_KW,3,KW,4,4.48,7,62.5,3,65,98.1
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_KW,3,KW,5,4.69,6,68,4,68,103.9
plant,soil,SSV,PSA1_0.3,0.3,PSA1_0.3_KW,3,KW,6,3.48,6,63,3,68,97.9
plant,soil,SSV,PSA1_0.5,0.5,PSA1_0.5_KW,4,KW,1,4.49,7,62,3,65,110.8
plant,soil,SSV,PSA1_0.5,0.5,PSA1_0.5_KW,4,KW,2,4.09,6,71,3,65,116.5
plant,soil,SSV,PSA1_0.5,0.5,PSA1_0.5_KW,4,KW,3,5,6,45,4,59,111.5
plant,soil,SSV,PSA1_0.5,0.5,PSA1_0.5_KW,4,KW,4,4.47,7,61,3,65,96.8
plant,soil,SSV,PSA1_0.5,0.5,PSA1_0.5_KW,4,KW,5,3.91,6,45,4,64,109.4
plant,soil,SSV,PSA1_0.5,0.5,PSA1_0.5_KW,4,KW,6,4.65,7,62,3,65,83.2
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_AG,1,AG,1,3.73,9,58.5,5,56,104.5
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_AG,1,AG,2,3.86,8,58,4,59,114
plant,soil,SSR,PSA2_0.0,0,PSA2_0.0_AG,1,AG,3,3.65,8,47,4,59,99.9
