Cultivar,SPAD_1,SPAD_6,SPAD_9,SPAD_11,SPAD_14,Vase_life
AG,58.9,32.4,28.2,21.5,20.4,11
AG,64.7,32,29.5,22.1,19.4,11
AG,73.8,85.8,55,33.3,27,9
AG,69.2,60.2,55.2,31.8,25.8,9
AG,63.7,56.7,51.4,30.9,23,9
AG,52.6,30.4,27,23.5,22.3,8
AG,50.4,33.9,27.7,24,21.8,8
AG,46.9,35.4,28.3,21.8,21.6,8
AG,63.9,46.4,46.4,19.1,18,11
AG,59.6,47.5,43.3,19.8,18,11
AG,58.4,50.4,40.1,20,18.3,11
AG,75.8,68.3,50.1,34.8,35.4,14
AG,69.4,65.6,49.2,33.7,37.4,14
AG,66.2,57.8,46.2,32.9,34.5,14
CP,69.8,43.4,30.1,11,9.4,8
CP,60.5,49.7,29.6,10.4,9.5,8
CP,52.6,40.1,30.2,7.4,7.9,8
CP,36.5,20.2,22,10.5,10.9,9
CP,35.9,20.3,22.3,10.1,8.2,9
CP,38.9,22.4,20.9,12,7.6,9
CP,22.4,13.9,7.8,12.6,11.5,10
CP,16.5,11.8,7.7,11.6,10.6,10
CP,17.5,13.8,7.9,10.6,9.1,10
CP,27.5,22.2,14.4,7.3,8.5,7
CP,28.1,19.9,14.6,6.8,7.5,7
CP,27.1,20.1,13.7,8.9,10.2,7
CP,31.6,32.1,23.1,15,7,7
CP,32.8,30.7,22.1,18.5,6,7
CP,33.8,28.6,19.6,20.7,6.4,7
CP,12.2,11.6,9.7,8.3,6.2,6
CP,14.8,10.9,10.3,8.1,5.2,6
CP,13.7,11.4,9.6,8,5.6,6
CP,11.4,10.2,7.3,6.4,5.3,9
CP,11.8,9.8,8.2,5,4.9,9
CP,11.2,10.1,8.7,5.2,4.5,9
CP,19.7,10.8,16,6.9,6.8,9
CP,19.8,11.3,14.5,5.7,7,9
CP,19.4,10.4,11.9,5.7,5.7,9
CP,22,18.8,20.7,13.8,13,8
CP,20,18.4,19.6,14.2,8.9,8
CP,20,17.1,18.4,15.1,12.9,8
CP,58.8,11.3,9.7,5.4,4.7,9
CP,59.9,11.2,9.8,5.7,4.9,9
CP,56.5,11.9,8.9,4.6,4,9
CP,76.6,49.4,40.7,41,38.8,8
CP,77.5,50.6,38.4,38.2,38,8
CP,78.9,50.1,37.1,37.1,35.8,8
CP,73.9,57.2,31.4,38.6,32.9,8
CP,76.9,58.1,27.9,33.3,31.4,8
CP,70.4,57.8,28.5,29.1,31.9,8
CP,53.6,41.6,27.8,24,11.6,12
CP,58.2,39.8,24.9,23.5,11.5,12
CP,50.6,41.7,26.7,21.2,11.5,12
CP,43.3,37.3,25.3,21.9,24.1,13
CP,48.2,33.6,22.7,20.3,25.1,13
CP,44.5,34.7,23.1,21.4,21.3,13
CP,75.7,55.8,50.2,41.8,19.4,10
CP,77.2,54.4,47.5,40.3,19.5,10
CP,69.6,60.5,46.2,42.5,19,10
CP,54.8,32.6,25.3,18.3,45.2,7
CP,55.4,28.4,25.6,17.5,44.1,7
CP,47.6,28.6,25.7,17,39.7,7
CP,44.5,24,33.8,17,21.2,13
CP,41.5,22.8,37.4,17.2,20.9,13
CP,40.6,23.7,36.2,16.2,20.6,13
CP,63.4,13.8,12.6,19.7,23.4,9
CP,68.4,13.6,12.3,19.2,23.6,9
CP,54.3,14,12.3,18.9,22.2,9
CP,40.6,42.7,30,37.4,20.4,10
CP,36.5,44.6,29.4,32.4,19.5,10
CP,38.5,40.8,26.6,31.2,18.7,10
CP,45.1,34,27.4,27.4,26.1,10
CP,44.2,34.9,25.1,28.2,28.1,10
CP,45.2,30.3,24.9,25.4,24.8,10
CP,37.5,40.3,26.6,22.5,21.2,9
CP,35.5,41.4,25.4,23.4,20,9
CP,34.4,39.9,23.5,20.1,21,9
CP,36.5,33.9,30.1,20.9,18.5,11
CP,35.4,34.7,29.1,19.7,18.2,11
CP,32.4,31.3,27.9,19.6,17.5,11
CP,39.9,45.1,35.5,25.8,20,10
CP,29.8,44.1,34,26.1,20.5,10
CP,29.9,40.3,34.2,24.5,20.7,10
CP,35.1,35.4,30,27.9,22.9,8
CP,34.4,33.4,29.4,25.6,21.9,8
CP,33.3,30.9,30.1,24.2,21.5,8
CP,77.7,64.9,46.4,31.6,33.8,8
CP,75.7,54.2,43.4,34.6,32.2,8
CP,73.9,52.1,41.5,40.1,36.6,8
CP,86.5,61.7,40.5,29.1,25.5,10
CP,74.5,71.2,36.7,26.7,22.2,10
CP,73,67,33.2,23.7,22,10
