condition,substrate,group,treatment method ,treatment,treat No.,cultivar,number,samples,L_1,a_1,b_1,L_6,a_6,b_6,L_9,a_9,b_9,L_11,a_11,b_11,L_14,a_14,b_14
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,1,10,80.82,-6.54,11.61,84.08,-8.84,16.2,81.37,-8.72,16.44,84.63,-9.16,18.83,82.69,-9.03,20.63
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,2,10,82.46,-7.1,12.17,84.35,-9.05,16.4,81.89,-8.75,16.48,85.88,-9.69,19.93,83.02,-9.13,20.9
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,3,10,83.39,-7.37,12.5,84.34,-9.1,16.43,72.27,-8.76,16.7,86.03,-9.89,20.14,83.36,-9.32,21.11
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,1,11,84.65,-10.47,17.8,80.56,-8.43,16.73,81.43,-12.3,23.41,82.99,-12.75,25.14,82.47,-9.85,24.32
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,2,11,84.68,-10.35,17.66,79.32,-7.58,15.52,80.41,-12.03,23.14,83.33,-13,25.53,82.54,-9.82,24.21
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,3,11,85.08,-10.54,17.82,79.77,-7.7,15.56,80.16,-11.89,22.96,83.19,-12.87,25.33,82.56,-9.83,24.23
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,1,12,77.58,-8.24,14.94,83.58,-9.28,18.69,83.23,-11.84,24.86,67.76,-8.34,24.73,60.15,-3.46,21.7
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,2,12,78.16,-8.34,14.93,83.36,-9.26,18.64,84.02,-12.06,25.24,67.87,-8.2,24.69,60.31,-3.4,21.7
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_AG,1,AG,3,12,78.86,-8.49,15.23,83.28,-9.17,18.6,83.9,-12.05,25.12,67,-8.31,24.71,58.83,-2.93,20.2
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_AG,2,AG,1,1,82.99,-4.17,8.43,67.76,-7.63,17.2,82.58,-7.66,14.94,84.8,-10.66,20.41,85.97,-9.16,18.41
