condition,substrate,group,treatment method ,treatment,treat No.,cultivar,number,samples,L_1,a_1,b_1,L_6,a_6,b_6,L_9,a_9,b_9,L_11,a_11,b_11,L_14,a_14,b_14
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,1,3,70.07,-5.67,10.48,79.31,-10.1,21.32,82.72,-11,20.85,86.45,-8.69,22.44,80.74,-4.03,21.29
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,2,3,68.17,-4.8,9.32,80.76,-10.65,22.37,82.65,-10.88,20.79,85.8,-8.44,22.2,81.04,-4.22,21.54
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,3,3,70.08,-5.66,10.48,81.75,-11.37,23.72,82.73,-11.07,21.01,85.74,-8.46,22.1,81.11,-4.17,21.52
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,1,4,85.38,-9.49,17.05,84.14,-9.66,18.84,80.25,-11.42,21.23,87.21,-8.1,15.96,87.23,-8.26,20.9
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,2,4,80.86,-7.56,14,84.55,-10.01,19.71,80.81,-11.26,20.88,86.36,-7.59,14.93,86.66,-7.99,20.24
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,3,4,71.27,-7.42,15.01,84.92,-10.28,20.05,80.63,-11.15,20.81,86.58,-7.57,15.02,86.62,-8.1,20.27
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,1,5,70.51,-9.53,18.13,81.09,-9.26,18.28,83.01,-11.54,22.42,86,-8.28,20.47,87.39,-8.58,20.4
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,2,5,69.83,-9.53,18.48,80.98,-9.49,18.55,82.48,-11.32,22.16,85.46,-8.31,20.45,87.88,-8.65,20.35
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,3,5,69.29,-9.81,19.49,81.14,-9.57,18.66,82.67,-11.48,22.41,85.44,-8.35,20.51,88.17,-8.71,20.44
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,1,6,80.97,-14.32,26.61,81.76,-9.3,18.6,83.66,-8.39,14.93,83.69,-11.7,23.66,77.06,-5.32,21.9
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,2,6,80.58,-13.54,25.39,80.16,-9.89,18.29,83.92,-8.56,14.98,83.7,-11.81,23.81,77.11,-5.35,21.84
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,3,6,79.15,-11.91,22.54,79.72,-9.32,18.66,84.12,-8.55,14.97,83.86,-11.92,24.03,77.07,-5.58,21.91
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,1,7,85.19,-7.75,13.89,82.86,-9.91,19.17,84.15,-9.71,18.35,80.4,-11.46,27.87,84.28,-10.41,24.83
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,2,7,84.85,-7.21,12.85,83.66,-9.77,18.87,83.94,-9.49,18.03,76.72,-10.51,25.68,84.36,-10.3,24.72
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,3,7,84.77,-7.1,12.69,83.74,-9.83,17.8,82.58,-8.71,16.75,70.35,-8.33,21.81,84.37,-10.38,24.7
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,1,8,75.43,-8.35,15.72,82.81,-8.45,16.81,85.05,-4.62,9.98,84.58,-5.91,12.46,82.65,-4.24,13.37
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,2,8,75.71,-7.58,14.24,82.37,-8.4,16.79,84.91,-4.52,9.86,85.14,-5.96,12.66,85.87,-4.85,14.7
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,3,8,78.19,-8.14,15.09,81.92,-8.36,16.65,84.55,-4.61,9.76,84.66,-5.89,12.55,86.51,-5,14.89
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,1,9,84.53,-9.6,18.04,84.82,-8.73,17.26,67.72,-7.67,17.01,84.59,-7.83,20.37,80.48,-4,19.54
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,2,9,83.71,-8.8,16.59,84.87,-8.75,17.32,68.36,-7.99,17.67,84.02,-7.66,20.27,80.5,-3.99,19.45
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,3,9,83.14,-8.24,15.31,85.06,-8.79,17.37,69.48,-8.1,18.06,83.93,-7.58,20.24,80.55,-3.94,19.35
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,1,10,78.57,-9.22,17.24,76.33,-10.82,21.78,82.51,-10.29,22.37,81.35,-8.7,21.54,74.88,-3.02,21.86
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,2,10,68.42,-7.59,14.65,70.67,-8.78,18.74,82.54,-10.32,22.35,81.45,-8.61,21.48,74.87,-2.95,21.96
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,3,10,65.56,-7.02,13.52,74.08,-9.43,20.05,83.01,-10.32,22.44,81.43,-8.74,21.47,74.9,-2.84,21.94
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,1,11,82.7,-13.3,23.67,85.85,-9.81,19.31,81.17,-10.52,19.6,85.44,-9.02,18.2,84.75,-7.03,17.81
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,2,11,82.77,-12.67,22.65,85.61,-9.86,19.31,81.27,-10.22,19.27,83.57,-8.43,17,84.91,-7.12,17.95
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,3,11,81.02,-12.66,22.87,85.5,-9.78,19.3,82.14,-9.28,17.5,83.59,-8.55,17.29,85.92,-7.4,18.77
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,1,12,84.05,-8.08,13.7,82.57,-12.32,24.32,75.39,-10.43,19.87,80.92,-10.28,23.31,84.61,-10.25,23
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,2,12,81.57,-7.82,13.43,82,-12.08,23.89,76.87,-11.04,20.83,81.13,-10.31,23.33,85.24,-10.42,22.94
"Flower, water",Nutrient solution,HSR,NSA 0.5,NSA_0.5_AG,4,AG,3,12,77.54,-6.91,12.19,82.1,-12.09,23.89,77.49,-11.2,21.16,81.4,-10.39,23.48,85.36,-10.53,23.1
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,1,1,68.84,12.26,1.28,80.83,9.98,1.14,75.87,15.73,0.23,71.16,15.8,3.09,81.27,10.02,5.06
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,2,1,73.19,10.9,1.73,81.1,9.46,1.11,76.56,15.96,0.37,72.74,13.32,2.08,81.22,10.19,5.21
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,3,1,69.33,6.76,5.1,82.29,9.72,1.37,76.9,16.31,0.48,73.89,11.71,1.68,81.2,10.16,5.21
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,1,2,68.58,17.52,-0.33,78.53,13.69,0.44,76.28,12.41,0.28,69.83,16.38,0.95,54.41,1.77,29.77
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,2,2,67.57,10.5,-0.29,79.34,14.06,0.43,75.6,11.61,0.21,70.46,16.02,1.49,54.72,0.64,29.17
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,3,2,66.66,9.4,-0.19,80.47,14.51,0.73,68.46,10.71,0.37,68.11,14.28,2.13,54.93,0.77,29.23
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,1,3,77.02,9.26,1.81,81.77,5.96,1.93,82.52,6.91,1.71,82.21,2.57,6.88,80.24,3.36,7.97
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,2,3,78.32,9.33,2.13,80.78,5.95,1.78,81.2,6.33,1.52,82.44,2.47,6.95,82.4,3.16,8.37
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,3,3,81.86,5.39,2.47,80.6,5.87,1.76,81.42,6.6,1.74,82.48,2.48,6.96,83.31,3.14,8.62
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,1,4,78.6,8.66,-0.48,71.68,8.38,2.27,72.3,15.69,3.72,76.53,11.31,7.11,74.36,9.99,9.83
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,2,4,79.07,9.62,-0.39,72.47,8.17,1.78,72.08,15.61,3.73,76.63,11.42,7.2,74.76,9.97,9.98
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,3,4,77.77,11.97,-0.82,73.41,8.16,2.17,71.85,15.87,3.77,76.62,11.34,7.24,74.87,10.07,10.05
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,1,5,77.9,11.87,-0.43,84.15,8.31,0.75,79.2,15.95,1.11,77.54,12.25,4.46,77.3,8.41,10.86
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,2,5,74.09,10.34,-0.11,84.09,8.15,0.74,79.14,15.99,1.11,77.84,12.3,4.5,77.84,8.56,11.16
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,3,5,74.12,12.66,-0.19,84.15,8.24,0.73,79,16.05,1.15,74.54,11.88,3.93,77.93,8.49,11.08
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,1,6,83.62,8.94,1.4,78.16,7.19,3.6,82.83,9.92,5.18,74.94,8.25,11.38,67.02,8.73,19.35
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,2,6,83.21,8.29,1.72,71.38,10.96,3.94,82.97,10.06,5.2,74.99,8.29,11.35,67.85,8.46,19.21
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,3,6,82.52,8.17,1.81,71.33,10.85,4.01,82.87,9.89,5.19,74.59,8.19,11.14,68.01,8.55,19.07
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,1,7,77.97,6.2,1.23,85.72,4.73,2.21,84.05,9.92,1.67,78.98,11.41,3.89,83.07,5.64,7.01
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,2,7,83.34,8.31,1.68,81.88,4.5,2.27,84.05,18.18,1.76,76.99,10.18,3.21,83.72,5.61,7.02
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,3,7,75.22,5.16,1.81,85.4,4.31,2.36,84.09,18.24,1.83,77.91,10.49,3.52,83.86,5.64,6.99
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,1,8,80.02,6.46,0.06,86.07,7.9,1.34,77.28,7.51,1.48,78.99,13.76,2.12,79.38,9.99,9.08
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,2,8,57.22,9.9,-0.88,86.4,7.89,1.46,77.14,7.22,1.32,78.66,13.76,2.09,79.41,9.87,8.14
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,3,8,54.22,10.19,-1.15,86.61,8.82,1.58,76.73,7.96,1.52,78.38,13.59,2.07,79.43,9.82,8.13
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,1,9,73.64,8.17,-0.58,83.53,8.35,1.88,74.75,11.07,0.53,76.21,12.11,4.91,74.31,10.81,8.34
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,2,9,71.59,6.8,-0.3,81.6,8.03,1.45,41.89,10.88,-4.32,76.25,12.01,4.93,74.19,10.72,8.46
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,3,9,73.05,6.83,0.05,81.06,7.94,1.37,45.49,10.09,-3.72,76.42,12.01,4.95,74.39,10.64,8.4
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,1,10,78.31,7.87,0.3,81.73,2.77,1.86,74.72,5.15,-2.08,81.86,7.56,4.22,85.33,2.94,4.9
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,2,10,76.36,8.17,0.18,81.19,2.77,1.78,57.86,4.93,-0.28,82.21,6.75,4.37,85.44,2.72,4.98
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,3,10,77.12,8.3,0.27,82.08,2.76,1.9,65.41,3.91,0.82,81.8,6.59,4.45,85.45,2.72,5.08
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,1,11,77.82,14.67,-0.93,70.67,14.34,0.45,78.97,14.01,2,71.16,12.62,5.23,72.15,9.85,9.26
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,2,11,77.68,15.82,-0.81,73.72,16.75,1.19,79.05,14.02,2.34,71.54,13.13,5.45,72.38,10.03,9.23
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,3,11,77.74,16,-0.78,74.44,16.96,1.24,79.22,13.96,2.85,71.23,12.76,5.34,72.35,9.99,9.36
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,1,12,72.65,9.86,-1.02,74.11,18.03,0.48,78.5,13.33,1.97,69.4,9.35,5.13,77.19,10.49,3.74
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,2,12,74.24,9.42,-0.88,75.79,18.36,0.68,79.57,13.57,2.15,70.92,9.63,5.5,77.22,10.44,3.77
"Flower, water",Nutrient solution,HSR,NSA 0.0,NSA_0.0_CP,1,CP,3,12,77.09,9.99,-0.54,76.08,18.33,0.74,78.79,13.68,2.19,71.12,9.98,5.68,77.22,10.55,3.85
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,1,1,81.24,10.7,1.81,79.22,4.16,2.26,75.33,12.67,0.78,78.5,3.14,2.95,79.94,4.55,4.49
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,2,1,83.49,4.63,1.63,81.14,4.08,2.44,75.01,13.26,0.85,75.92,3.22,3.16,79.58,4.4,4.48
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,3,1,83.74,4.66,1.7,83.35,4.21,2.81,75.72,13.63,1.89,75.98,3.49,3.63,80.43,4.6,4.76
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,1,2,67.12,5.22,-0.6,82.25,6.71,1.83,79.34,10.66,3.15,70.27,12.16,2.69,83.19,6.1,4.15
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,2,2,73.2,5.21,0,81.38,6.61,1.63,79.64,10.71,3.19,78.36,9.26,5.58,83.83,6.26,4.43
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,3,2,75.36,5.15,0.15,82.5,6.97,2.04,79.4,10.83,3.22,78.78,9.46,5.67,83.92,6.28,4.52
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,1,3,70.48,7.94,-0.87,82.08,12.94,1.01,78.08,14.83,1.2,83.32,9.24,3.8,83.38,4.85,4.34
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,2,3,64.56,7.25,-1.01,81.96,12.9,1.01,78.78,14.76,1.2,83.34,9.12,3.81,83.16,4.67,4.29
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,3,3,73.04,5.15,-0.43,81.9,12.96,1.02,78.81,14.67,1.17,83.27,9.16,3.9,83.8,4.81,4.25
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,1,4,81.47,9.8,0.66,57.36,4.66,10.79,80.73,7.32,5.92,64.55,4.98,7.56,69.88,9.38,8.44
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,2,4,80.89,8.99,0.55,60,4,12.19,80.68,7.37,6.03,76.73,5.37,9.65,67.31,9.7,7.79
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,3,4,79.44,8.62,0.36,60.11,4.4,12.21,80.65,7.48,6.07,78.2,5.64,10.05,67.19,9.53,7.69
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,1,5,77.95,9.53,1.33,70.64,8.16,-0.17,77.75,14.01,8.94,82.23,9.03,1.26,75.07,12.39,0.45
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,2,5,80.58,9.64,1.52,67.77,9.89,-0.61,77.88,14.25,1.01,81.71,9.21,1.21,76.57,11.34,0.68
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,3,5,80.37,9.38,1.37,69.85,10.16,-0.38,78.62,14.9,1.24,81.71,9.37,1.23,76.4,11.09,0.79
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,1,6,74.23,2.7,1.06,81.87,2.85,1.82,84.11,6.79,3.46,76.72,5.58,7.41,79.13,4.98,8.32
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,2,6,81.94,3.31,3.04,84.47,2.9,2.14,83.88,6.94,3.46,77,5.56,7.59,78.67,5.01,8.26
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,3,6,84.08,3.64,3.54,85.95,3.13,2.44,83.7,6.96,3.48,77.25,5.4,7.65,79.71,4.82,8.43
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,1,7,79.91,10.53,1.27,81.63,6.28,1.45,80.49,9.01,2.73,81.04,2.27,6.1,81.17,1.45,4.83
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,2,7,81.15,11.14,1.59,76.42,5.5,1.45,81.43,9.06,2.94,81.48,2.04,6.18,78.96,1.53,4.2
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,3,7,81.23,11.14,1.64,76.32,5.42,1.37,81.35,8.97,2.9,81.84,1.97,6.18,83.67,2.78,6.98
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,1,8,74.53,8.09,0.45,69.12,8.4,1.12,83.02,8.54,2.43,73.15,9.92,5.56,72.14,9.9,6.89
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,2,8,74.43,8.46,0.66,71.39,8.87,1.54,83.12,8.59,2.46,73.78,10.09,5.81,71.29,9.77,6.4
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,3,8,74.88,8.61,0.79,72.23,9.24,2.01,83.53,8.52,2.45,73.99,10.06,5.84,71.39,9.58,6.41
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,1,9,76.5,17.45,-0.12,79.57,5.52,3.1,81.16,12.26,1.97,77.84,4.67,8.78,71.66,13.21,12.98
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,2,9,76.99,17.85,-0.03,79.83,5.42,3.08,81.01,12.12,1.88,78.78,4.74,9.14,71.57,13.13,12.97
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,3,9,77.03,17.91,-0.01,80.05,5.53,3.08,81.14,12.22,1.93,79.13,4.72,9.21,71.6,13.16,13.05
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,1,10,84.59,3.84,2.29,79.78,7.73,1.45,74.83,20.1,0.72,83.4,7.11,3.55,79.48,13.33,3.55
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,2,10,83.61,3.97,2.31,78.78,8.01,1.22,74.81,20.26,0.73,82.62,7.05,3.52,79.76,13.86,3.82
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,3,10,82.47,4.27,2.38,77.66,8.24,1.01,74.92,20.33,0.78,82.83,7.2,3.67,79.83,13.64,3.69
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,1,11,81.25,9.36,1.39,81.62,4.57,6.3,82.84,7.29,5.77,75.85,14.26,0.76,77.78,8.11,3.81
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,2,11,80.72,9.38,1.29,81.76,4.68,6.69,82.68,7.16,5.72,75.26,13.52,0.94,80.14,6.77,3.94
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,3,11,80.43,10.31,1.33,82.09,4.95,6.92,82.79,7.24,5.78,74.96,13.4,0.98,81.02,6.46,4.08
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,1,12,79.22,13.51,0.22,74.83,20.1,0.72,73.78,14.75,2.46,79.36,3.76,9.81,78.18,3.83,15.85
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,2,12,77.76,12.29,0.35,74.81,20.26,0.73,72.81,14.28,2.15,79.34,3.7,9.87,78.21,3.93,16.03
"Flower, water",Nutrient solution,HSR,NSA 0.1,NSA_0.1_CP,2,CP,3,12,79.11,9.82,1.13,74.92,20.33,0.78,73.31,14.4,2.28,79.35,3.62,9.94,78.28,3.83,15.99
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,1,79.54,7.39,1.18,76.65,7.85,1.94,81.98,12.16,1.61,76.99,16.03,2.74,81.55,9.98,4.42
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,1,81.88,6.68,10.21,76.89,8.01,2.15,81.78,12.23,1.64,73.84,15.9,2.05,81.18,10.02,4.42
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,1,82.35,6.68,1.23,77.17,8.06,2.19,81.94,12.3,1.62,72.53,14.68,1.55,81.2,9.98,4.39
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,2,76.45,6.36,0.63,77,3.61,0.51,81.25,12.7,1.5,82.34,11.23,2.24,78.86,13.65,4.59
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,2,77.81,7.81,1.29,76.98,3.43,0.52,81.58,12.86,1.59,82.29,11.17,2.29,79.02,13.85,4.71
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,2,78,8.09,0.88,77.75,3.39,0.72,81.66,12.89,1.64,82.32,11.19,2.3,79.17,13.82,4.69
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,3,69.65,14.91,-1.1,74.83,14.63,-0.49,80.2,12.28,0.91,79.42,11.28,1.81,82,10.32,3.1
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,3,69.36,15.05,-0.95,75.88,15.41,-0.43,80.32,11.08,0.86,79.64,11.22,1.93,81.97,10.37,3.11
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,3,68.05,14.74,-0.85,77.49,15.06,-0.28,80.46,10.98,0.81,79.75,11.04,1.96,82.23,10.46,3.27
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,4,76.19,14.47,0.59,78.83,4.76,1.12,79.96,16.3,1.56,75.83,12.78,6.93,72.41,15.44,5.9
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,4,75.61,13.74,0.75,77.27,4.36,0.9,79.68,16.07,1.49,75.63,12.63,6.83,72.64,15.54,5.92
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,4,76.9,12.42,1.3,79.25,4.14,1.32,79.73,15.99,1.47,75.6,12.56,6.86,72.68,15.62,5.95
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,5,78.14,13.19,0.62,82.58,8.76,1.62,78.24,15.18,0.68,79.42,11.96,1.43,82.35,8.8,2.39
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,5,78.7,11.9,0.8,82.76,8.71,1.66,79.17,15.46,0.86,79.26,11.87,1.4,82.2,9.79,2.35
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,5,76.58,12.24,0.68,83.51,8.96,1.9,79.39,15.59,0.95,79.41,12.06,1.47,82.19,8.77,2.36
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,6,71.25,15.49,-0.41,56.49,6.95,0.68,83.45,9.4,1.46,77.63,8.84,4.97,81.91,7.55,5.32
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,6,76.39,14.7,0.01,57.61,6.12,-0.19,84.05,9.71,1.54,77.41,8.8,4.87,81.73,7.63,5.43
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,6,77.78,14.21,0.11,62.15,5.8,0.49,84.41,9.85,1.54,77.34,8.67,4.89,81.84,7.47,5.33
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,7,80.75,7.29,0.42,77.08,7.05,1.15,78.45,12.54,1.57,83.21,6.97,4.74,76.19,3.13,15.51
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,7,81.25,7.79,0.64,76.96,7.04,1.24,78.84,12.46,1.49,82.9,6.85,4.78,75.92,3.04,15.57
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,7,80.72,7.82,0.8,77.29,7.05,1.27,79.26,12.79,1.63,82.87,6.88,4.79,76.36,2.98,15.84
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,8,55.02,9.82,-0.56,57.9,4.84,5.46,81.87,7.83,3.02,82.93,7.33,2.17,85.56,3.37,4.91
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,8,48.4,9.83,-0.98,59.73,3.74,8.21,81.96,7.83,3.12,83.08,7.33,2.19,85.38,3.23,4.96
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,3,8,43.78,10.14,-1.81,60.8,2.32,12.74,81.03,7.58,2.91,83.41,7.6,2.32,85.48,3.21,4.98
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,1,9,75.23,12.95,0.2,74.51,7.73,0.25,73.78,14.75,2.46,80.16,11.58,5.11,76.15,8.82,10.04
"Flower, water",Nutrient solution,HSR,NSA 0.3,NSA_0.3_CP,3,CP,2,9,65.13,9.39,-0.31,76.79,7.83,0.44,72.81,14.28,2.15,80.21,11.49,5.17,76.46,8.66,10.12
